Date,InstitutionName,Latitude,Longitude,TotalConfirmed,TotalDeaths,DistinctPatientsTested,NewInTheLast14Days,StartDate,EndDate
12/29/2021,California Correctional Center (CCC),40.446063000000002,-120.664132,1467,0,50,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,California Correctional Institution (CCI),35.132672999999997,-118.50781,1415,4,49,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,Central California Women's Facility (CCWF),37.100417,-120.27864,964,1,188,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,California State Prison-Centinela (CEN),32.853470999999999,-115.58942,902,1,201,4,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,California Health Care Facility (CHCF),37.955474000000002,-121.19064,670,19,141,2,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,California Institution for Men (CIM),34.015962999999999,-117.68737,1622,30,130,28,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,California Institution for Women (CIW),33.903803000000003,-117.60221,511,1,434,2,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,California Men's Colony (CMC),35.221085000000002,-120.636399,2494,13,187,0,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,California Medical Facility (CMF),38.348959999999998,-121.908324,733,12,451,2,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,California State Prison-Corcoran (COR),36.085341999999997,-119.5548,1381,7,96,29,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,California Rehabilitation Center (CRC),33.925885000000001,-117.55978,2133,1,756,100,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,Correctional Training Facility (CTF),36.411760000000001,-121.32617,2740,21,112,0,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,Chuckawalla Valley State Prison (CVSP),33.628332999999998,-114.61905,1816,9,4,0,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,Deuel Vocational Institution (DVI),37.728417,-121.42399,545,0,0,0,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,Folsom State Prison (FSP),38.672127000000003,-121.15783,1385,2,254,5,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,High Desert State Prison (HDSP),40.474950999999997,-120.67685,2076,2,12,0,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,Ironwood State Prison (ISP),33.598689999999998,-114.652517,1588,1,31,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,Kern Valley State Prison (KVSP),35.771875999999999,-119.26984,981,7,42,2,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,California State Prison-Los Angeles County (LAC),34.728856999999998,-118.32683,1532,14,100,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,Mule Creek State Prison (MCSP),38.346131999999997,-120.94516,1905,9,298,0,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,North Kern State Prison (NKSP),35.774966999999997,-119.23371,1247,5,221,4,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,Pelican Bay State Prison (PBSP),41.782680999999997,-124.16703,332,0,27,0,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,Pleasant Valley State Prison (PVSP),36.194735999999999,-120.30865,2029,3,53,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,Richard J. Donovan Correctional Facility (RJD),32.572602000000003,-116.918724,1051,18,65,32,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,California State Prison-Sacramento (SAC),38.694032999999997,-121.152413,349,1,123,35,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,Substance Abuse Treatment Facility (SATF),36.177360999999998,-119.82042,3132,7,57,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,Sierra Conservation Center (SCC),37.867243000000002,-120.49157,1672,0,328,2,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,California State Prison-Solano (SOL),38.344009999999997,-121.95333,1398,7,188,2,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,San Quentin State Prison (SQ),37.943365,-122.49029,2267,28,134,2,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,Salinas Valley State Prison (SVSP),36.518179000000003,-121.42557,684,6,92,0,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,Valley State Prison (VSP),37.127524999999999,-120.50574,1764,2,89,1,2021-12-29 00:00:00,2022-01-05 00:00:00
12/29/2021,Wasco State Prison (WSP),35.605044999999997,-119.37143,2112,2,34,151,2021-12-29 00:00:00,2022-01-05 00:00:00
12/28/2021,Avenal State Prison (ASP),35.930765999999998,-120.10057,3138,8,481,2,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,California City Correctional Facility (CAC),35.139327000000002,-117.91473,1022,2,259,6,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,Calipatria State Prison (CAL),33.131763999999997,-115.51208,1172,3,260,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,California Correctional Center (CCC),40.446063000000002,-120.664132,1467,0,122,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,California Correctional Institution (CCI),35.132672999999997,-118.50781,1415,4,104,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,Central California Women's Facility (CCWF),37.100417,-120.27864,964,1,319,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,California State Prison-Centinela (CEN),32.853470999999999,-115.58942,902,1,280,4,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,California Health Care Facility (CHCF),37.955474000000002,-121.19064,669,19,110,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,California Institution for Men (CIM),34.015962999999999,-117.68737,1622,30,490,28,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,California Institution for Women (CIW),33.903803000000003,-117.60221,509,1,21,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,California Men's Colony (CMC),35.221085000000002,-120.636399,2494,13,193,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,California Medical Facility (CMF),38.348959999999998,-121.908324,733,12,224,2,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,California State Prison-Corcoran (COR),36.085341999999997,-119.5548,1376,7,216,24,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,California Rehabilitation Center (CRC),33.925885000000001,-117.55978,2088,1,687,55,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,Correctional Training Facility (CTF),36.411760000000001,-121.32617,2740,21,77,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,Chuckawalla Valley State Prison (CVSP),33.628332999999998,-114.61905,1816,9,331,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,Deuel Vocational Institution (DVI),37.728417,-121.42399,545,0,0,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,Folsom State Prison (FSP),38.672127000000003,-121.15783,1383,2,523,4,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,High Desert State Prison (HDSP),40.474950999999997,-120.67685,2076,2,49,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,Ironwood State Prison (ISP),33.598689999999998,-114.652517,1588,1,171,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,Kern Valley State Prison (KVSP),35.771875999999999,-119.26984,981,7,211,2,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,California State Prison-Los Angeles County (LAC),34.728856999999998,-118.32683,1532,14,95,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,Mule Creek State Prison (MCSP),38.346131999999997,-120.94516,1905,9,138,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,North Kern State Prison (NKSP),35.774966999999997,-119.23371,1245,5,268,2,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,Pelican Bay State Prison (PBSP),41.782680999999997,-124.16703,332,0,13,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,Pleasant Valley State Prison (PVSP),36.194735999999999,-120.30865,2029,3,903,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,Richard J. Donovan Correctional Facility (RJD),32.572602000000003,-116.918724,1051,18,402,32,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,California State Prison-Sacramento (SAC),38.694032999999997,-121.152413,347,1,169,35,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,Substance Abuse Treatment Facility (SATF),36.177360999999998,-119.82042,3132,7,271,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,Sierra Conservation Center (SCC),37.867243000000002,-120.49157,1672,0,32,2,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,California State Prison-Solano (SOL),38.344009999999997,-121.95333,1398,7,314,2,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,San Quentin State Prison (SQ),37.943365,-122.49029,2267,28,164,2,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,Salinas Valley State Prison (SVSP),36.518179000000003,-121.42557,684,6,35,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,Valley State Prison (VSP),37.127524999999999,-120.50574,1763,2,66,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/28/2021,Wasco State Prison (WSP),35.605044999999997,-119.37143,2112,2,123,153,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Avenal State Prison (ASP),35.930765999999998,-120.10057,3138,8,76,2,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,California City Correctional Facility (CAC),35.139327000000002,-117.91473,1019,2,208,3,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Calipatria State Prison (CAL),33.131763999999997,-115.51208,1171,3,34,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,California Correctional Center (CCC),40.446063000000002,-120.664132,1466,0,154,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,California Correctional Institution (CCI),35.132672999999997,-118.50781,1415,4,115,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Central California Women's Facility (CCWF),37.100417,-120.27864,964,1,229,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,California State Prison-Centinela (CEN),32.853470999999999,-115.58942,900,1,159,2,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,California Health Care Facility (CHCF),37.955474000000002,-121.19064,669,19,215,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,California Institution for Men (CIM),34.015962999999999,-117.68737,1613,30,236,19,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,California Institution for Women (CIW),33.903803000000003,-117.60221,509,1,75,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,California Men's Colony (CMC),35.221085000000002,-120.636399,2494,13,73,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,California Medical Facility (CMF),38.348959999999998,-121.908324,733,12,464,2,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,California State Prison-Corcoran (COR),36.085341999999997,-119.5548,1375,7,148,46,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,California Rehabilitation Center (CRC),33.925885000000001,-117.55978,2086,1,471,53,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Correctional Training Facility (CTF),36.411760000000001,-121.32617,2740,21,91,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Chuckawalla Valley State Prison (CVSP),33.628332999999998,-114.61905,1816,9,9,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Deuel Vocational Institution (DVI),37.728417,-121.42399,545,0,0,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Folsom State Prison (FSP),38.672127000000003,-121.15783,1382,2,65,3,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,High Desert State Prison (HDSP),40.474950999999997,-120.67685,2076,2,42,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Ironwood State Prison (ISP),33.598689999999998,-114.652517,1588,1,44,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Kern Valley State Prison (KVSP),35.771875999999999,-119.26984,980,7,43,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,California State Prison-Los Angeles County (LAC),34.728856999999998,-118.32683,1531,14,15,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Mule Creek State Prison (MCSP),38.346131999999997,-120.94516,1905,9,36,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,North Kern State Prison (NKSP),35.774966999999997,-119.23371,1245,5,599,3,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Pelican Bay State Prison (PBSP),41.782680999999997,-124.16703,332,0,10,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Pleasant Valley State Prison (PVSP),36.194735999999999,-120.30865,2029,3,302,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Richard J. Donovan Correctional Facility (RJD),32.572602000000003,-116.918724,1028,18,160,9,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,California State Prison-Sacramento (SAC),38.694032999999997,-121.152413,341,1,181,29,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Substance Abuse Treatment Facility (SATF),36.177360999999998,-119.82042,3131,7,28,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Sierra Conservation Center (SCC),37.867243000000002,-120.49157,1672,0,97,2,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,California State Prison-Solano (SOL),38.344009999999997,-121.95333,1398,7,38,4,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,San Quentin State Prison (SQ),37.943365,-122.49029,2267,28,127,2,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Salinas Valley State Prison (SVSP),36.518179000000003,-121.42557,684,6,32,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Valley State Prison (VSP),37.127524999999999,-120.50574,1763,2,184,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/27/2021,Wasco State Prison (WSP),35.605044999999997,-119.37143,2112,2,1847,154,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,Avenal State Prison (ASP),35.930765999999998,-120.10057,3138,8,1,2,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,California City Correctional Facility (CAC),35.139327000000002,-117.91473,1016,2,15,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,Calipatria State Prison (CAL),33.131763999999997,-115.51208,1171,3,45,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,California Correctional Center (CCC),40.446063000000002,-120.664132,1466,0,232,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,California Correctional Institution (CCI),35.132672999999997,-118.50781,1415,4,83,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,Central California Women's Facility (CCWF),37.100417,-120.27864,964,1,54,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,California State Prison-Centinela (CEN),32.853470999999999,-115.58942,898,1,9,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,California Health Care Facility (CHCF),37.955474000000002,-121.19064,669,19,69,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,California Institution for Men (CIM),34.015962999999999,-117.68737,1602,30,82,8,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,California Institution for Women (CIW),33.903803000000003,-117.60221,509,1,16,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,California Men's Colony (CMC),35.221085000000002,-120.636399,2494,13,3,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,California Medical Facility (CMF),38.348959999999998,-121.908324,733,12,23,2,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,California State Prison-Corcoran (COR),36.085341999999997,-119.5548,1373,7,52,44,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,California Rehabilitation Center (CRC),33.925885000000001,-117.55978,2074,1,29,41,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,Correctional Training Facility (CTF),36.411760000000001,-121.32617,2740,21,77,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,Chuckawalla Valley State Prison (CVSP),33.628332999999998,-114.61905,1816,9,21,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,Deuel Vocational Institution (DVI),37.728417,-121.42399,545,0,0,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,Folsom State Prison (FSP),38.672127000000003,-121.15783,1381,2,68,2,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,High Desert State Prison (HDSP),40.474950999999997,-120.67685,2076,2,1,0,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,Ironwood State Prison (ISP),33.598689999999998,-114.652517,1588,1,44,1,2021-12-21 00:00:00,2021-12-28 00:00:00
12/26/2021,Kern Valley State Prison (KVSP),35.771875999999999,-119.26984,980,7,32,1,2021-12-21 00:00:00,2021-12-28 00:00:00
