InstitutionName,TotalConfirmed,Latitude,Longitude
Avenal State Prison (ASP),28,35.930765999999998,-120.10057
California City Correctional Facility (CAC),184,35.139327000000002,-117.91473
Calipatria State Prison (CAL),425,33.131763999999997,-115.51208
California Correctional Center (CCC),227,40.446063000000002,-120.664132
California Correctional Institution (CCI),172,35.132672999999997,-118.50781
Central California Women's Facility (CCWF),447,37.100417,-120.27864
California State Prison-Centinela (CEN),84,32.853470999999999,-115.58942
California Health Care Facility (CHCF),167,37.955474000000002,-121.19064
California Institution for Men (CIM),131,34.015962999999999,-117.68737
California Institution for Women (CIW),71,33.903803000000003,-117.60221
California Men's Colony (CMC),1341,35.221085000000002,-120.636399
California Medical Facility (CMF),282,38.348959999999998,-121.908324
California State Prison-Corcoran (COR),672,36.085341999999997,-119.5548
California Rehabilitation Center (CRC),319,33.925885000000001,-117.55978
Correctional Training Facility (CTF),389,36.411760000000001,-121.32617
Chuckawalla Valley State Prison (CVSP),15,33.628332999999998,-114.61905
Deuel Vocational Institution (DVI),400,37.728417,-121.42399
Folsom State Prison (FSP),25,38.672127000000003,-121.15783
High Desert State Prison (HDSP),146,40.474950999999997,-120.67685
Ironwood State Prison (ISP),720,33.598689999999998,-114.652517
Kern Valley State Prison (KVSP),156,35.771875999999999,-119.26984
California State Prison-Los Angeles County (LAC),119,34.728856999999998,-118.32683
Mule Creek State Prison (MCSP),411,38.346131999999997,-120.94516
North Kern State Prison (NKSP),592,35.774966999999997,-119.23371
Pelican Bay State Prison (PBSP),138,41.782680999999997,-124.16703
Pleasant Valley State Prison (PVSP),53,36.194735999999999,-120.30865
Richard J. Donovan Correctional Facility (RJD),111,32.572602000000003,-116.918724
California State Prison-Sacramento (SAC),114,38.694032999999997,-121.152413
Substance Abuse Treatment Facility (SATF),140,36.177360999999998,-119.82042
Sierra Conservation Center (SCC),547,37.867243000000002,-120.49157
California State Prison-Solano (SOL),739,38.344009999999997,-121.95333
San Quentin State Prison (SQ),22,37.943365,-122.49029
Salinas Valley State Prison (SVSP),249,36.518179000000003,-121.42557
Valley State Prison (VSP),283,37.127524999999999,-120.50574
Wasco State Prison (WSP),924,35.605044999999997,-119.37143
