word,positive_count,negative_count,part_of_speech
reported,6,63,VBD
cleaned,6,63,VBN
caring,18,62,VBG
expect,10,62,VB
lived,20,60,VBD
involved,13,59,VBN
served,10,59,VBD
required,9,59,VBN
learning,13,58,VBG
realized,12,58,VBN
killed,6,58,VBN
handling,4,58,VBG
stressed,4,57,VBN
according,6,57,VBG
fell,5,56,VBD
underlying,12,56,VBG
transferring,2,56,VBG
pushing,8,55,VBG
consider,5,55,VB
suffered,7,54,VBD
checking,3,54,VBG
paying,8,53,VBG
noticed,9,53,VBN
diagnosed,3,51,VBN
playing,8,51,VBG
remove,6,51,VB
standing,8,51,VBG
providing,3,50,VBG
ignored,6,50,VBN
praying,17,50,VBG
refusing,6,49,VBG
complaining,3,49,VBG
committed,17,49,VBN
returned,3,49,VBN
experiencing,11,49,VBG
designed,5,48,VBN
washing,12,48,VBG
ordered,6,48,VBN
concerning,8,47,VBG
watched,8,47,VBN
affecting,4,47,VBG
depressing,10,47,VBG
contaminated,3,47,VBN
lying,3,47,VBG
changing,10,47,VBG
walked,6,46,VBD
quarantining,5,46,VBG
occurred,6,46,VBD
feeding,5,46,VBG
restricted,4,46,VBN
reduce,2,45,VB
finding,12,45,VBG
struggling,5,45,VBG
followed,9,44,VBD
overcrowded,1,44,VBN
arrested,9,44,VBN
mandated,2,44,VBN
contracting,4,44,VBG
impacted,5,44,VBN
added,8,44,VBD
witnessed,6,43,VBN
scheduled,6,43,VBN
pulled,3,43,VBD
becoming,8,43,VBG
missing,4,42,VBG
wellbeing,6,42,VBG
interesting,13,42,VBG
continues,4,42,VBZ
shared,18,42,VBN
confirmed,2,42,VBN
resolved,3,42,VBN
implemented,1,42,VBN
led,11,42,VBN
save,8,41,VB
overwhelming,7,41,VBG
holds,5,41,VBZ
causing,6,41,VBG
convicted,12,41,VBN
evening,5,41,VBG
releasing,2,41,VBG
considering,5,41,VBG
attempted,4,40,VBN
wanting,11,40,VBG
signed,3,40,VBN
exercising,9,39,VBG
located,3,39,VBN
recorded,0,38,VBN
figured,4,38,VBN
overcrowding,1,38,VBG
approved,5,38,VBN
hanging,1,37,VBG
focused,9,37,VBN
touching,6,37,VBG
forcing,3,37,VBG
reached,6,37,VBN
hundred,5,36,VBN
mixing,0,36,VBG
enforced,1,35,VBN
treating,5,35,VBG
designated,1,35,VBN
recovered,6,35,VBN
freezing,1,35,VBG
exposing,1,35,VBG
protected,3,34,VBN
stating,3,34,VBG
locking,4,34,VBG
infecting,0,34,VBG
breaking,4,34,VBG
enclosed,5,34,VBN
lasted,1,34,VBN
assigned,3,34,VBN
pen,8,34,VB
crying,7,33,VBG
hurting,3,33,VBG
dropped,7,33,VBD
creating,3,33,VBG
throwing,8,33,VBG
dining,2,33,VBG
sleeping,4,33,VBG
missed,6,32,VBN
requested,2,32,VBN
included,6,32,VBD
studying,10,32,VBG
granted,5,32,VBN
enforcing,1,32,VBG
wing,3,32,VBG
lifted,3,32,VBN
sanitize,3,31,VB
placing,6,31,VBG
fucking,1,31,VBG
managed,3,31,VBN
expose,1,31,VB
ensure,2,31,VB
growing,11,31,VBG
participate,7,31,VB
