FlairSentiment,const,Week Number,case rate,death rate,Type_Jail,Type_Prison,Level_Federal,Level_State,Type_case rate,Type_death rate
0,1.0,17,0.0632644453816955,0.0,0,1,0,1,0.0632644453816955,0.0
1,1.0,34,0.0004217629692113,0.0,0,1,0,1,0.0004217629692113,0.0
0,1.0,48,0.0012652889076339,0.0,0,1,0,1,0.0012652889076339,0.0
0,1.0,49,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,49,0.0,0.0,0,1,0,1,0.0,0.0
1,1.0,49,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,49,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,50,0.0037958667229017,0.0,0,1,0,1,0.0037958667229017,0.0
0,1.0,50,0.0037958667229017,0.0,0,1,0,1,0.0037958667229017,0.0
0,1.0,51,0.0143399409531843,0.0,0,1,0,1,0.0143399409531843,0.0
0,1.0,51,0.0143399409531843,0.0,0,1,0,1,0.0143399409531843,0.0
0,1.0,51,0.0143399409531843,0.0,0,1,0,1,0.0143399409531843,0.0
0,1.0,52,0.0109658371994939,0.0,0,1,0,1,0.0109658371994939,0.0
0,1.0,62,0.0004217629692113,0.0,0,1,0,1,0.0004217629692113,0.0
1,1.0,109,0.0177140447068747,0.0,0,1,0,1,0.0177140447068747,0.0
0,1.0,109,0.0177140447068747,0.0,0,1,0,1,0.0177140447068747,0.0
0,1.0,109,0.0177140447068747,0.0,0,1,0,1,0.0177140447068747,0.0
0,1.0,109,0.0177140447068747,0.0,0,1,0,1,0.0177140447068747,0.0
0,1.0,109,0.0177140447068747,0.0,0,1,0,1,0.0177140447068747,0.0
0,1.0,31,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,41,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,50,0.0376546530392684,0.0,0,1,0,1,0.0376546530392684,0.0
0,1.0,50,0.0376546530392684,0.0,0,1,0,1,0.0376546530392684,0.0
0,1.0,50,0.0376546530392684,0.0,0,1,0,1,0.0376546530392684,0.0
0,1.0,51,0.0406132329209252,0.0,0,1,0,1,0.0406132329209252,0.0
0,1.0,51,0.0406132329209252,0.0,0,1,0,1,0.0406132329209252,0.0
0,1.0,55,0.0494889725658956,0.0,0,1,0,1,0.0494889725658956,0.0
1,1.0,60,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,60,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,62,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,62,0.0,0.0,0,1,0,1,0.0,0.0
1,1.0,62,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,62,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,63,0.0002689618074233,0.0,0,1,0,1,0.0002689618074233,0.0
0,1.0,64,0.0002689618074233,0.0,0,1,0,1,0.0002689618074233,0.0
0,1.0,64,0.0002689618074233,0.0,0,1,0,1,0.0002689618074233,0.0
0,1.0,65,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,69,0.0002689618074233,0.0,0,1,0,1,0.0002689618074233,0.0
0,1.0,70,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,87,0.0040344271113501,0.0,0,1,0,1,0.0040344271113501,0.0
0,1.0,39,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,48,0.0601640838650866,0.0,0,1,0,1,0.0601640838650866,0.0
0,1.0,48,0.0601640838650866,0.0,0,1,0,1,0.0601640838650866,0.0
0,1.0,53,0.0158006684898207,0.0012154360376785,0,1,0,1,0.0158006684898207,0.0012154360376785
0,1.0,53,0.0158006684898207,0.0012154360376785,0,1,0,1,0.0158006684898207,0.0012154360376785
0,1.0,53,0.0158006684898207,0.0012154360376785,0,1,0,1,0.0158006684898207,0.0012154360376785
0,1.0,54,0.0015192950470981,0.0003038590094196,0,1,0,1,0.0015192950470981,0.0003038590094196
0,1.0,54,0.0015192950470981,0.0003038590094196,0,1,0,1,0.0015192950470981,0.0003038590094196
1,1.0,63,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,65,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,68,0.0,0.0,0,1,0,1,0.0,0.0
1,1.0,68,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,68,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,68,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,68,0.0,0.0,0,1,0,1,0.0,0.0
1,1.0,69,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,69,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,69,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,69,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,69,0.0,0.0,0,1,0,1,0.0,0.0
1,1.0,69,0.0,0.0,0,1,0,1,0.0,0.0
0,1.0,69,0.0,0.0,0,1,0,1,0.0,0.0
