FlairSentiment,const,Week Number,case number,case rate,death number,death rate,Type_Prison,Level_Federal,Level_State,Type_case number,Type_case rate,Type_death number,Type_death rate
0,1.0,17,150.0,0.0632644453816955,0.0,0.0,1,0,1,150.0,0.0632644453816955,0.0,0.0
1,1.0,34,1.0,0.0004217629692113,0.0,0.0,1,0,1,1.0,0.0004217629692113,0.0,0.0
0,1.0,48,3.0,0.0012652889076339,0.0,0.0,1,0,1,3.0,0.0012652889076339,0.0,0.0
0,1.0,49,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,49,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
1,1.0,49,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,49,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,50,9.0,0.0037958667229017,0.0,0.0,1,0,1,9.0,0.0037958667229017,0.0,0.0
0,1.0,50,9.0,0.0037958667229017,0.0,0.0,1,0,1,9.0,0.0037958667229017,0.0,0.0
0,1.0,51,34.0,0.0143399409531843,0.0,0.0,1,0,1,34.0,0.0143399409531843,0.0,0.0
0,1.0,51,34.0,0.0143399409531843,0.0,0.0,1,0,1,34.0,0.0143399409531843,0.0,0.0
0,1.0,51,34.0,0.0143399409531843,0.0,0.0,1,0,1,34.0,0.0143399409531843,0.0,0.0
0,1.0,52,26.0,0.0109658371994939,0.0,0.0,1,0,1,26.0,0.0109658371994939,0.0,0.0
0,1.0,62,1.0,0.0004217629692113,0.0,0.0,1,0,1,1.0,0.0004217629692113,0.0,0.0
1,1.0,109,42.0,0.0177140447068747,0.0,0.0,1,0,1,42.0,0.0177140447068747,0.0,0.0
0,1.0,109,42.0,0.0177140447068747,0.0,0.0,1,0,1,42.0,0.0177140447068747,0.0,0.0
0,1.0,109,42.0,0.0177140447068747,0.0,0.0,1,0,1,42.0,0.0177140447068747,0.0,0.0
0,1.0,109,42.0,0.0177140447068747,0.0,0.0,1,0,1,42.0,0.0177140447068747,0.0,0.0
0,1.0,109,42.0,0.0177140447068747,0.0,0.0,1,0,1,42.0,0.0177140447068747,0.0,0.0
0,1.0,31,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,41,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,50,140.0,0.0376546530392684,0.0,0.0,1,0,1,140.0,0.0376546530392684,0.0,0.0
0,1.0,50,140.0,0.0376546530392684,0.0,0.0,1,0,1,140.0,0.0376546530392684,0.0,0.0
0,1.0,50,140.0,0.0376546530392684,0.0,0.0,1,0,1,140.0,0.0376546530392684,0.0,0.0
0,1.0,51,151.0,0.0406132329209252,0.0,0.0,1,0,1,151.0,0.0406132329209252,0.0,0.0
0,1.0,51,151.0,0.0406132329209252,0.0,0.0,1,0,1,151.0,0.0406132329209252,0.0,0.0
0,1.0,55,184.0,0.0494889725658956,0.0,0.0,1,0,1,184.0,0.0494889725658956,0.0,0.0
1,1.0,60,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,60,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,62,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,62,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
1,1.0,62,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,62,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,63,1.0,0.0002689618074233,0.0,0.0,1,0,1,1.0,0.0002689618074233,0.0,0.0
0,1.0,64,1.0,0.0002689618074233,0.0,0.0,1,0,1,1.0,0.0002689618074233,0.0,0.0
0,1.0,64,1.0,0.0002689618074233,0.0,0.0,1,0,1,1.0,0.0002689618074233,0.0,0.0
0,1.0,65,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,69,1.0,0.0002689618074233,0.0,0.0,1,0,1,1.0,0.0002689618074233,0.0,0.0
0,1.0,70,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,87,15.0,0.0040344271113501,0.0,0.0,1,0,1,15.0,0.0040344271113501,0.0,0.0
0,1.0,39,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,48,198.0,0.0601640838650866,0.0,0.0,1,0,1,198.0,0.0601640838650866,0.0,0.0
0,1.0,48,198.0,0.0601640838650866,0.0,0.0,1,0,1,198.0,0.0601640838650866,0.0,0.0
0,1.0,53,52.0,0.0158006684898207,4.0,0.0012154360376785,1,0,1,52.0,0.0158006684898207,4.0,0.0012154360376785
0,1.0,53,52.0,0.0158006684898207,4.0,0.0012154360376785,1,0,1,52.0,0.0158006684898207,4.0,0.0012154360376785
0,1.0,53,52.0,0.0158006684898207,4.0,0.0012154360376785,1,0,1,52.0,0.0158006684898207,4.0,0.0012154360376785
0,1.0,54,5.0,0.0015192950470981,1.0,0.0003038590094196,1,0,1,5.0,0.0015192950470981,1.0,0.0003038590094196
0,1.0,54,5.0,0.0015192950470981,1.0,0.0003038590094196,1,0,1,5.0,0.0015192950470981,1.0,0.0003038590094196
1,1.0,63,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,65,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,68,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
1,1.0,68,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,68,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,68,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,68,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
1,1.0,69,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,69,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,69,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,69,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,69,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
1,1.0,69,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,69,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
1,1.0,69,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,69,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,69,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
1,1.0,70,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,70,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,41,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,45,5.0,0.0015033072760072,0.0,0.0,1,0,1,5.0,0.0015033072760072,0.0,0.0
0,1.0,47,9.0,0.0027059530968129,0.0,0.0,1,0,1,9.0,0.0027059530968129,0.0,0.0
0,1.0,51,151.0,0.0453998797354179,0.0,0.0,1,0,1,151.0,0.0453998797354179,0.0,0.0
0,1.0,53,78.0,0.0234515935057126,0.0,0.0,1,0,1,78.0,0.0234515935057126,0.0,0.0
0,1.0,54,56.0,0.0168370414912808,1.0,0.0003006614552014,1,0,1,56.0,0.0168370414912808,1.0,0.0003006614552014
0,1.0,69,1.0,0.0003006614552014,0.0,0.0,1,0,1,1.0,0.0003006614552014,0.0,0.0
0,1.0,69,1.0,0.0003006614552014,0.0,0.0,1,0,1,1.0,0.0003006614552014,0.0,0.0
0,1.0,69,1.0,0.0003006614552014,0.0,0.0,1,0,1,1.0,0.0003006614552014,0.0,0.0
0,1.0,69,1.0,0.0003006614552014,0.0,0.0,1,0,1,1.0,0.0003006614552014,0.0,0.0
0,1.0,69,1.0,0.0003006614552014,0.0,0.0,1,0,1,1.0,0.0003006614552014,0.0,0.0
0,1.0,69,1.0,0.0003006614552014,0.0,0.0,1,0,1,1.0,0.0003006614552014,0.0,0.0
0,1.0,69,1.0,0.0003006614552014,0.0,0.0,1,0,1,1.0,0.0003006614552014,0.0,0.0
0,1.0,69,1.0,0.0003006614552014,0.0,0.0,1,0,1,1.0,0.0003006614552014,0.0,0.0
0,1.0,79,0.0,0.0,0.0,0.0,1,0,1,0.0,0.0,0.0,0.0
0,1.0,85,4.0,0.0012026458208057,0.0,0.0,1,0,1,4.0,0.0012026458208057,0.0,0.0
0,1.0,104,1.0,0.0003006614552014,0.0,0.0,1,0,1,1.0,0.0003006614552014,0.0,0.0
0,1.0,106,13.0,0.0039085989176187,0.0,0.0,1,0,1,13.0,0.0039085989176187,0.0,0.0
0,1.0,43,30.0,0.0069881201956673,0.0,0.0,1,0,1,30.0,0.0069881201956673,0.0,0.0
0,1.0,47,124.0,0.0288842301420918,1.0,0.0002329373398555,1,0,1,124.0,0.0288842301420918,1.0,0.0002329373398555
0,1.0,50,278.0,0.0647565804798509,2.0,0.0004658746797111,1,0,1,278.0,0.0647565804798509,2.0,0.0004658746797111
0,1.0,50,278.0,0.0647565804798509,2.0,0.0004658746797111,1,0,1,278.0,0.0647565804798509,2.0,0.0004658746797111
0,1.0,51,124.0,0.0288842301420918,0.0,0.0,1,0,1,124.0,0.0288842301420918,0.0,0.0
1,1.0,52,165.0,0.0384346610761705,2.0,0.0004658746797111,1,0,1,165.0,0.0384346610761705,2.0,0.0004658746797111
0,1.0,52,165.0,0.0384346610761705,2.0,0.0004658746797111,1,0,1,165.0,0.0384346610761705,2.0,0.0004658746797111
0,1.0,52,165.0,0.0384346610761705,2.0,0.0004658746797111,1,0,1,165.0,0.0384346610761705,2.0,0.0004658746797111
0,1.0,52,165.0,0.0384346610761705,2.0,0.0004658746797111,1,0,1,165.0,0.0384346610761705,2.0,0.0004658746797111
0,1.0,52,165.0,0.0384346610761705,2.0,0.0004658746797111,1,0,1,165.0,0.0384346610761705,2.0,0.0004658746797111
0,1.0,52,165.0,0.0384346610761705,2.0,0.0004658746797111,1,0,1,165.0,0.0384346610761705,2.0,0.0004658746797111
0,1.0,52,165.0,0.0384346610761705,2.0,0.0004658746797111,1,0,1,165.0,0.0384346610761705,2.0,0.0004658746797111
0,1.0,52,165.0,0.0384346610761705,2.0,0.0004658746797111,1,0,1,165.0,0.0384346610761705,2.0,0.0004658746797111
