Filename,Sentiment,Subjectivity,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Compound Sentiment,prison_name,County,population,tags,Start Date,End Date,date,cases,deaths,Subjectivity_BoxCox,Case/Population,Death/Population
Ironwood_20201109_06_38_FULL,NEGATIVE,7.21216201782227E-06,0.076,0.809,0.116,0.9941,Ironwood,Riverside,2468145.0,[''],2020-11-02,2020-11-09,2020-11-09,4708.0,35.0,-21.948975039950300,0.001907505434243130,1.41806903565228E-05
MuleCreek_20201109_27_Full_PrisonConditions_Stress_Family,NEGATIVE,4.78625297545832E-05,0.137,0.801,0.062,-0.9809,Mule Creek,Amador,38531.0,"['Prison Conditions', ' Stress', ' Family']",2020-11-02,2020-11-09,2020-11-09,34.0,0.0,-16.592163933607000,0.0008824063740883960,0.0
Chuckawalla_20201109_06_57_FULL,NEGATIVE,8.82446765900213E-05,0.068,0.801,0.131,0.9991,Chuckawalla,Riverside,2468145.0,[''],2020-11-02,2020-11-09,2020-11-09,4708.0,35.0,-15.05736459392450,0.001907505434243130,1.41806903565228E-05
Lancaster_20201109_030_FULL,NEGATIVE,5.76972961425781E-05,0.086,0.783,0.131,0.9985,Lancaster,Los Angeles,10257557.0,[''],2020-11-02,2020-11-09,2020-11-09,18656.0,111.0,-16.113800728907500,0.001818756649365930,1.08212900986073E-05
Chuckawalla_20201109_05_04_FULL,NEGATIVE,0.000113695859909,0.052,0.817,0.13,0.9993,Chuckawalla,Riverside,2468145.0,[''],2020-11-02,2020-11-09,2020-11-09,4708.0,35.0,-14.44738626585290,0.001907505434243130,1.41806903565228E-05
Avenal_20201110_7_51_FULL,NEGATIVE,0.0001111924648284,0.077,0.812,0.111,0.9969,Avenal,Kings,156444.0,[''],2020-11-03,2020-11-10,2020-11-10,642.0,3.0,-14.500388803290000,0.004103704840070570,1.91761908414513E-05
MuleCreek_20201110_323_FULL_PrisonConditions,NEGATIVE,1.4424324035589E-05,0.142,0.764,0.094,-0.9636,Mule Creek,Amador,38531.0,['Prison Conditions'],2020-11-03,2020-11-10,2020-11-10,40.0,0.0,-19.873995084754000,0.0010381251459863500,0.0
Avenal_20201110_08_13_FULL,NEGATIVE,3.12924385070801E-05,0.076,0.798,0.125,0.9977,Avenal,Kings,156444.0,[''],2020-11-03,2020-11-10,2020-11-10,642.0,3.0,-17.71222626424400,0.004103704840070570,1.91761908414513E-05
Vacaville_20201112_035_FULL,NEGATIVE,1.54972076421567E-06,0.096,0.814,0.091,-0.3326,Vacaville,Solano,444255.0,"['Programs', ' Prison Conditions']",2020-11-05,2020-11-12,2020-11-12,750.0,1.0,-27.072575556976600,0.001688219603606040,2.25095947147472E-06
San Quentin_20201113_734_FULL,NEGATIVE,8.3446502686102E-06,0.058,0.804,0.138,0.999,San Quentin,Marin,260800.0,[''],2020-11-06,2020-11-13,2020-11-13,3.0,0.0,-21.500889592323900,1.15030674846626E-05,0.0
Avenal_20201113_7_18_FULL,NEGATIVE,3.99351120000668E-06,0.095,0.739,0.165,0.998,Avenal,Kings,156444.0,[''],2020-11-06,2020-11-13,2020-11-13,635.0,0.0,-23.830138361126900,0.0040589603947738500,0.0
Ironwood_20201118_2_04_Stress,NEGATIVE,5.0663948059082E-06,0.068,0.841,0.09,0.3804,Ironwood,Riverside,2468145.0,['Stress'],2020-11-11,2020-11-18,2020-11-18,8036.0,53.0,-23.060060194054400,0.003255886505857640,2.14736168255917E-05
Chuckawalla_20201120_06_34_FULL,NEGATIVE,1.63912773131769E-05,0.077,0.77,0.153,0.9994,Chuckawalla,Riverside,2468145.0,[''],2020-11-13,2020-11-20,2020-11-20,9437.0,63.0,-19.506076652560700,0.0038235192827001700,2.55252426417411E-05
CIW_20201120_71_FULL,NEGATIVE,5.36441802978516E-06,0.094,0.83,0.076,-0.9387,CIW,San Bernardino,2217398.0,"['Stress', ' Family', ' Prison Conditions', ' Programs']",2020-11-13,2020-11-20,2020-11-20,12791.0,77.0,-22.87767396365010,0.00576847277755279,3.47253853390325E-05
Tehachapi_20201123_063_FULL,NEGATIVE,0.0023005306720734,0.119,0.704,0.177,0.9956,Tehachapi,Kern,927251.0,[''],2020-11-16,2020-11-23,2020-11-23,3192.0,19.0,-8.229985165071310,0.003442433602120680,2.04906762030993E-05
CSATF_20201123_66_FULL,NEGATIVE,0.0142431557178497,0.139,0.822,0.038,-0.9885,CSATF,Kings,156444.0,"['Infection', ' Prison Conditions', ' Stress']",2020-11-16,2020-11-23,2020-11-23,1024.0,1.0,-5.242899115354550,0.006545473140548700,6.39206361381709E-06
Centinela_20201123_070_FULL,NEGATIVE,1.32322311401922E-05,0.076,0.865,0.059,-0.9006,Centinela,Imperial,191649.0,"['Family', ' Stress', ' Prison Conditions']",2020-11-16,2020-11-23,2020-11-23,1509.0,11.0,-20.124808918017600,0.007873769234381600,5.73965948165657E-05
Chowchilla_20201124_062_FULL,NEGATIVE,2.50339508062192E-06,0.045,0.802,0.153,0.996,Chowchilla,Madera,160089.0,[''],2020-11-17,2020-11-24,2020-11-24,671.0,5.0,-25.393286996538400,0.004191418523446330,3.1232626851314E-05
Vacaville_20201124_01_45_FULL_PrisonConditions,NEGATIVE,3.99351120000668E-06,0.034,0.843,0.122,0.9947,Vacaville,Solano,444255.0,"['Prison Conditions', ' Featured']",2020-11-17,2020-11-24,2020-11-24,1127.0,7.0,-23.830138361126900,0.002536831324352010,1.5756716300323E-05
Soledad_20201124_061_FULL,NEGATIVE,9.82582569121759E-05,0.079,0.847,0.074,-0.296,Soledad,Monterey,448732.0,"['Prison Conditions', ' Infection']",2020-11-17,2020-11-24,2020-11-24,1628.0,4.0,-14.796839293643300,0.0036280006774645,8.91400657853686E-06
Chuckawalla_20201127_06_39_FULL,NEGATIVE,3.87430191040039E-06,0.098,0.799,0.103,0.8423,Chuckawalla,Riverside,2468145.0,[''],2020-11-20,2020-11-27,2020-11-27,10553.0,73.0,-23.929472821735400,0.0042756807237824400,2.95768684578904E-05
Chuckawalla_20201127_06_59_FULL,NEGATIVE,2.80141830438785E-06,0.09,0.775,0.135,0.9982,Chuckawalla,Riverside,2468145.0,[''],2020-11-20,2020-11-27,2020-11-27,10553.0,73.0,-25.010427619015700,0.0042756807237824400,2.95768684578904E-05
Chuckawalla_20201127_06_21_FULL,NEGATIVE,0.0002423524856567,0.083,0.775,0.142,0.9976,Chuckawalla,Riverside,2468145.0,[''],2020-11-20,2020-11-27,2020-11-27,10553.0,73.0,-12.710938630417000,0.0042756807237824400,2.95768684578904E-05
Sonoma_Main_20201127_073_Full,NEGATIVE,3.5405158996582E-05,0.061,0.88,0.059,-0.6207,Sonoma_Main,Sonoma,496668.0,[''],2020-11-20,2020-11-27,2020-11-27,1049.0,3.0,-17.38207325987170,0.002112074866913110,6.04025224093358E-06
Donovan_20201130_06_49_FULL,NEGATIVE,3.05771827697754E-05,0.058,0.775,0.167,0.9994,Donovan,San Diego,3370418.0,[''],2020-11-23,2020-11-30,2020-11-30,11716.0,47.0,-17.77448241802650,0.00347612670001169,1.39448578781623E-05
Tehachapi_20201201_093_PrisonConditions,NEGATIVE,2.18749046326239E-05,0.071,0.841,0.088,0.7569,Tehachapi,Kern,927251.0,['Prison Conditions'],2020-11-24,2020-12-01,2020-12-01,3902.0,14.0,-18.691793481812400,0.004208137818131230,1.50983929917574E-05
Tehachapi_20201201_78_FULL,NEGATIVE,0.01876962184906,0.12,0.775,0.105,-0.3299,Tehachapi,Kern,927251.0,"['Family', ' Stress', ' Infection']",2020-11-24,2020-12-01,2020-12-01,3902.0,14.0,-4.834328537759080,0.004208137818131230,1.50983929917574E-05
Donovan_20201201_05_00_FULL,NEGATIVE,0.0003305971622467,0.047,0.827,0.126,0.9991,Donovan,San Diego,3370418.0,[''],2020-11-24,2020-12-01,2020-12-01,12336.0,49.0,-12.034033422066900,0.003660080144361920,1.45382560857437E-05
San Quentin_20201201_77B_FULL_PrisonConditions_Infection_Stress,NEGATIVE,2.36630439757746E-05,0.062,0.849,0.089,0.886,San Quentin,Marin,260800.0,"['Prison Conditions', ' Infection', ' Stress', ' Featured']",2020-11-24,2020-12-01,2020-12-01,8.0,0.0,-18.47394395371440,3.06748466257669E-05,0.0
Chino_20201201_104_FULL,NEGATIVE,0.0001903176307678,0.083,0.776,0.141,0.9871,Chino,San Bernardino,2217398.0,[''],2020-11-24,2020-12-01,2020-12-01,16942.0,110.0,-13.251894519526800,0.007640486732647910,4.9607693341475E-05
Lancaster_20201202_091_FULL,NEGATIVE,1.40070915222168E-05,0.19,0.7,0.11,-0.9984,Lancaster,Los Angeles,10257557.0,[''],2020-11-25,2020-12-02,2020-12-02,57429.0,343.0,-19.959109149084100,0.005598701523179450,3.34387612956964E-05
Tehachapi_20201202_2_50_FULL_Programs_Stress_Family_PrisonConditions,NEGATIVE,0.201843082904816,0.083,0.768,0.149,0.9833,Tehachapi,Kern,927251.0,"['Programs', ' Stress', ' Family', ' Prison conditions']",2020-11-25,2020-12-02,2020-12-02,4191.0,19.0,-1.7288574465977300,0.004519811787746790,2.04906762030993E-05
CIW_20201203_076_PrisonConditions_Stress,NEGATIVE,2.04443931580145E-05,0.101,0.829,0.07,-0.5859,CIW,San Bernardino,2217398.0,['Prison Conditions; Stress'],2020-11-26,2020-12-03,2020-12-03,19533.0,122.0,-18.88061514072960,0.00880897340035483,5.50194417059996E-05
Chuckawalla_20201203_06_01_PrisonConditions1_Infection,NEGATIVE,9.00030136108398E-06,0.031,0.901,0.069,0.7347,Chuckawalla,Riverside,2468145.0,['Prison Conditions'],2020-11-26,2020-12-03,2020-12-03,16075.0,104.0,-21.270959779273400,0.006512988499460120,4.21369084879535E-05
Chowchilla_20201204_84_FULL,NEGATIVE,3.814697265625E-06,0.246,0.633,0.121,-0.9846,Chowchilla,Madera,160089.0,"['Stress', ' Prison Conditions']",2020-11-27,2020-12-04,2020-12-04,930.0,2.0,-23.98040337028080,0.005809268594344400,1.24930507405256E-05
CIW_20201204_85_FULL_PrisonConditions_Stress,NEGATIVE,1.25765800476074E-05,0.182,0.761,0.057,-0.9818,CIW,San Bernardino,2217398.0,"['Prison Conditions', ' Stress']",2020-11-27,2020-12-04,2020-12-04,22022.0,137.0,-20.2735418113256,0.009931460206963300,6.17841271616552E-05
Centinela_20201204_82_PrisonConditions,NEGATIVE,1.66893005371094E-06,0.154,0.769,0.077,-0.9949,Centinela,Imperial,191649.0,['Prison Conditions'],2020-11-27,2020-12-04,2020-12-04,1689.0,22.0,-26.808032247316000,0.00881298624047086,0.0001147931896331310
CIW_20201207_07_46_FULL,NEGATIVE,3.36170196533203E-05,0.049,0.775,0.176,0.9999,CIW,San Bernardino,2217398.0,"['Stress', ' Prison Conditions', ' Featured']",2020-11-30,2020-12-07,2020-12-07,25403.0,185.0,-17.520165265595800,0.011456220308668100,8.34311206197534E-05
Chowchilla_20201207_128_FULL,NEGATIVE,3.3497810363825E-05,0.084,0.807,0.109,0.8489,Chowchilla,Madera,160089.0,"['Stress', ' Prison Conditions', ' Family']",2020-11-30,2020-12-07,2020-12-07,1038.0,4.0,-17.529655944775000,0.006483893334332780,2.49861014810512E-05
Tehachapi_20201207_109_FULL_PrisonConditions,NEGATIVE,1.22189521790106E-05,0.098,0.848,0.054,-0.8268,Tehachapi,Kern,927251.0,"['Prison Conditions', ' Programs']",2020-11-30,2020-12-07,2020-12-07,6072.0,30.0,-20.358293168428900,0.006548388731853620,3.23536992680515E-05
Tehachapi_20201208_125_FULL,NEGATIVE,0.23533883690834,0.124,0.79,0.086,-0.7579,Tehachapi,Kern,927251.0,"['Prison Conditions', ' Stress']",2020-12-01,2020-12-08,2020-12-08,6335.0,32.0,-1.5513057143447600,0.006832022828770200,3.45106125525882E-05
Chuckawalla_20201208_06_50_FULL,NEGATIVE,0.0012838542461395,0.088,0.775,0.137,0.9986,Chuckawalla,Riverside,2468145.0,[''],2020-12-01,2020-12-08,2020-12-08,21389.0,141.0,-9.30064784860075,0.0086660224581619,5.71279240077062E-05
Tehachapi_20201208_126_FULL,NEGATIVE,0.0103527009487152,0.06,0.835,0.105,0.9541,Tehachapi,Kern,927251.0,"['Prison Conditions', ' Family']",2020-12-01,2020-12-08,2020-12-08,6335.0,32.0,-5.728829705650460,0.006832022828770200,3.45106125525882E-05
Tehachapi_20201208_127_FULL_Stress,NEGATIVE,0.0001787543296813,0.068,0.863,0.069,0.0258,Tehachapi,Kern,927251.0,"['Stress', ' Featured']",2020-12-01,2020-12-08,2020-12-08,6335.0,32.0,-13.39423416469650,0.006832022828770200,3.45106125525882E-05
Tehachapi_20201208_98_FULL,NEGATIVE,0.0021698176860809,0.107,0.782,0.111,-0.8969,Tehachapi,Kern,927251.0,[''],2020-12-01,2020-12-08,2020-12-08,6335.0,32.0,-8.334694856238670,0.006832022828770200,3.45106125525882E-05
Chino_20201208_05_53_FULL,NEGATIVE,2.22921371459961E-05,0.102,0.845,0.052,-0.9986,Chino,San Bernardino,2217398.0,[''],2020-12-01,2020-12-08,2020-12-08,26002.0,202.0,-18.63926034864790,0.011726356747863900,9.10977641361632E-05
Tehachapi_20201209_116_FULL,NEGATIVE,0.0005556643009185,0.14,0.734,0.126,-0.9221,Tehachapi,Kern,927251.0,[''],2020-12-02,2020-12-09,2020-12-09,6868.0,32.0,-10.94589128941170,0.007406840219099250,3.45106125525882E-05
Chino_20201209_05_35_FULL_PrisonConditions,NEGATIVE,3.66568565368097E-05,0.212,0.788,0.0,-0.8658,Chino,San Bernardino,2217398.0,['Prison Conditions'],2020-12-02,2020-12-09,2020-12-09,26619.0,213.0,-17.289879393574400,0.012004610809606600,9.60585334703107E-05
Chino_20201209_139_FullPrograms,POSITIVE,0.955788105726242,0.04,0.84,0.12,0.9093,Chino,San Bernardino,2217398.0,['Programs'],2020-12-02,2020-12-09,2020-12-09,26619.0,213.0,-0.0453166979406786,0.012004610809606600,9.60585334703107E-05
