Facility Name,Week Number,Positive_Count,Negative_Count,Overall Count_x,Prison Count,Overall Positive Ratio,Overall Negative Ratio,Prison Positive Ratio,Prison Negative Ratio,Prison Case Number,Prison Death Number,Prison File Count,Overall Count_y,Type,_merge,County,Level
Alameda_SantaRita,70,0,1,5,1,0.0,0.2,0.0,1.0,486.0,5.0,1,5,Jail,both,Alameda,County
Donovan,70,1,1,5,2,0.2,0.2,0.5,0.5,0.0,0.0,2,5,Prison,both,San Diego,State
NewFolsom,70,0,1,5,1,0.0,0.2,0.0,1.0,0.0,0.0,1,5,Prison,both,Sacramento,State
Solano,70,0,1,5,1,0.0,0.2,0.0,1.0,0.0,0.0,1,5,Prison,both,Solano,State
Alameda_SantaRita,96,0,1,5,1,0.0,0.2,0.0,1.0,831.0,9.0,1,5,Jail,both,Alameda,County
Tulare_SouthCounty,96,0,4,5,4,0.0,0.8,0.0,1.0,3324.0,120.0,4,5,Jail,both,Tulare,County
Alameda_SantaRita,97,0,1,22,1,0.0,0.0454545454545454,0.0,1.0,820.0,5.0,1,22,Jail,both,Alameda,County
Tulare_BobWiley,97,0,1,22,1,0.0,0.0454545454545454,0.0,1.0,641.0,33.0,1,22,Jail,both,Tulare,County
Ventura_Main,97,0,4,22,4,0.0,0.1818181818181818,0.0,1.0,2140.0,20.0,4,22,Jail,both,Ventura,County
Ventura_Todd,97,0,16,22,16,0.0,0.7272727272727273,0.0,1.0,8560.0,80.0,16,22,Jail,both,Ventura,County
Alameda_SantaRita,98,0,1,7,1,0.0,0.1428571428571428,0.0,1.0,855.0,6.0,1,7,Jail,both,Alameda,County
LosAngeles_MensCentral,98,0,1,7,1,0.0,0.1428571428571428,0.0,1.0,7113.0,85.0,1,7,Jail,both,Los Angeles,County
NewFolsom,98,0,1,7,1,0.0,0.1428571428571428,0.0,1.0,0.0,0.0,1,7,Prison,both,Sacramento,State
Ventura_Main,98,0,4,7,4,0.0,0.5714285714285714,0.0,1.0,2100.0,28.0,4,7,Jail,both,Ventura,County
Alameda_SantaRita,101,0,2,10,2,0.0,0.2,0.0,1.0,2170.0,14.0,2,10,Jail,both,Alameda,County
