Facility Name,Week Number,Positive_Count,Negative_Count,All Facilities Weekly Count,Specific Facility Weekly Count,All Facilities Weekly Positive Ratio,All Facilities Weekly Negative Ratio,Specific Facility Positive Ratio,Specific Facility Negative Ratio
Calipatria,66,0,1,4,1,0.0,0.25,0.0,1.0
Chowchilla,66,1,0,4,1,0.25,0.0,1.0,0.0
SalinasValley,66,0,1,4,1,0.0,0.25,0.0,1.0
Soledad,66,0,1,4,1,0.0,0.25,0.0,1.0
Centinela,67,0,1,12,1,0.0,0.08333333333333330,0.0,1.0
NewFolsom,67,0,1,12,1,0.0,0.08333333333333330,0.0,1.0
Orange_Central,67,1,2,12,3,0.08333333333333330,0.16666666666666700,0.3333333333333330,0.6666666666666670
Orange_TheoLacy,67,0,4,12,4,0.0,0.3333333333333330,0.0,1.0
Soledad,67,1,0,12,1,0.08333333333333330,0.0,1.0,0.0
Valley State,67,1,1,12,2,0.08333333333333330,0.08333333333333330,0.5,0.5
Chino,17,0,1,1,1,0.0,1.0,0.0,1.0
Chino,34,1,0,1,1,1.0,0.0,1.0,0.0
Chino,109,1,4,5,5,0.2,0.8,0.2,0.8
Chowchilla,71,0,1,6,1,0.0,0.16666666666666700,0.0,1.0
KernValley,71,0,3,6,3,0.0,0.5,0.0,1.0
NewFolsom,71,0,1,6,1,0.0,0.16666666666666700,0.0,1.0
Orange_Central,71,0,1,6,1,0.0,0.16666666666666700,0.0,1.0
Corcoran,86,0,1,5,1,0.0,0.2,0.0,1.0
Fresno_Main,86,0,2,5,2,0.0,0.4,0.0,1.0
Kings_Main,86,0,1,5,1,0.0,0.2,0.0,1.0
Norco,86,0,1,5,1,0.0,0.2,0.0,1.0
Donovan,39,0,1,1,1,0.0,1.0,0.0,1.0
FireCamps,85,0,1,2,1,0.0,0.5,0.0,1.0
Vacaville,85,0,1,2,1,0.0,0.5,0.0,1.0
Fresno_Main,88,0,2,58,2,0.0,0.034482758620689700,0.0,1.0
LosAngeles_Metropolitan,88,4,0,58,4,0.06896551724137930,0.0,1.0,0.0
Merced_Latorraca,88,0,18,58,18,0.0,0.3103448275862070,0.0,1.0
Merced_USPAtwater,88,9,18,58,27,0.15517241379310300,0.3103448275862070,0.3333333333333330,0.6666666666666670
PelicanBay,88,0,1,58,1,0.0,0.017241379310344800,0.0,1.0
SanJoaquin_Main,88,0,5,58,5,0.0,0.08620689655172410,0.0,1.0
Tulare_BobWiley,88,0,1,58,1,0.0,0.017241379310344800,0.0,1.0
Fresno_Main,90,0,1,14,1,0.0,0.07142857142857140,0.0,1.0
Merced_Main,90,0,9,14,9,0.0,0.6428571428571430,0.0,1.0
PelicanBay,90,0,1,14,1,0.0,0.07142857142857140,0.0,1.0
Stockton,90,0,1,14,1,0.0,0.07142857142857140,0.0,1.0
USP_Victorville,90,0,2,14,2,0.0,0.14285714285714300,0.0,1.0
Fresno_Main,92,0,1,24,1,0.0,0.041666666666666700,0.0,1.0
LosAngeles_MensCentral,92,0,1,24,1,0.0,0.041666666666666700,0.0,1.0
LosAngeles_TwinTowers,92,0,8,24,8,0.0,0.3333333333333330,0.0,1.0
Merced_Main,92,0,9,24,9,0.0,0.375,0.0,1.0
PelicanBay,92,0,1,24,1,0.0,0.041666666666666700,0.0,1.0
SanBernardino_Central,92,0,4,24,4,0.0,0.16666666666666700,0.0,1.0
High Desert,61,0,1,4,1,0.0,0.25,0.0,1.0
Valley State,61,0,2,4,2,0.0,0.5,0.0,1.0
Wasco,61,0,1,4,1,0.0,0.25,0.0,1.0
Kern_GSAnnex,84,0,4,5,4,0.0,0.8,0.0,1.0
Yuba,84,0,1,5,1,0.0,0.2,0.0,1.0
LosAngeles_MensCentral,91,0,2,2,2,0.0,1.0,0.0,1.0
Mule Creek,73,0,1,1,1,0.0,1.0,0.0,1.0
NewFolsom,99,0,1,1,1,0.0,1.0,0.0,1.0
NewFolsom,110,0,2,6,2,0.0,0.3333333333333330,0.0,1.0
SantaClara_Elmwood,110,0,4,6,4,0.0,0.6666666666666670,0.0,1.0
Riverside_unspecified,77,0,36,36,36,0.0,1.0,0.0,1.0
SanBernadino_WestValley,93,0,4,4,4,0.0,1.0,0.0,1.0
SantaClara_Elmwood,100,0,8,13,8,0.0,0.6153846153846150,0.0,1.0
Ventura_Todd,100,0,4,13,4,0.0,0.3076923076923080,0.0,1.0
Yuba,100,0,1,13,1,0.0,0.07692307692307690,0.0,1.0
SantaClara_Elmwood,103,0,4,12,4,0.0,0.3333333333333330,0.0,1.0
SantaClara_Main,103,0,4,12,4,0.0,0.3333333333333330,0.0,1.0
Ventura_Main,103,0,4,12,4,0.0,0.3333333333333330,0.0,1.0
Solano,31,0,1,1,1,0.0,1.0,0.0,1.0
Solano,41,0,1,2,1,0.0,0.5,0.0,1.0
Vacaville,41,0,1,2,1,0.0,0.5,0.0,1.0
Tulare_BobWiley,113,0,1,1,1,0.0,1.0,0.0,1.0
Tulare_Main,104,0,4,5,4,0.0,0.8,0.0,1.0
Vacaville,104,0,1,5,1,0.0,0.2,0.0,1.0
Vacaville,79,0,1,1,1,0.0,1.0,0.0,1.0
Ventura_Main,102,0,4,4,4,0.0,1.0,0.0,1.0
Yuba,94,0,1,1,1,0.0,1.0,0.0,1.0
