Filename,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Compound Sentiment
Avenal_20201110_7_51_Infection.txt,0.097,0.817,0.086,-0.8776
Avenal_20201110_7_51_PrisonConditions.txt,0.03,0.908,0.062,0.9687
Avenal_20201110_7_51_PrisonConditions2.txt,0.14,0.787,0.073,-0.9836
Avenal_20201110_7_51_PrisonConditions3.txt,0.046,0.81,0.144,0.9914
Avenal_20201110_7_51_Stress.txt,0.066,0.859,0.074,-0.2648
Avenal_20201113_7_18_FULL.txt,0.095,0.739,0.165,0.998
Avenal_20201113_7_18_PrisonConditions1.txt,0.047,0.812,0.141,0.9736
Avenal_20201113_7_18_PrisonConditions2.txt,0.129,0.678,0.193,0.9621
Avenal_20201113_7_18_Stress.txt,0.102,0.728,0.17,0.8243
Avenal_20210317_8_31_Full.txt,0.118,0.738,0.144,0.9934
Avenal_20210317_8_31_Infection1.txt,0.161,0.748,0.091,-0.9873
Avenal_20210317_8_31_Infection2.txt,0.133,0.749,0.118,-0.8778
Avenal_20210317_8_31_PrisonConditions.txt,0.087,0.795,0.118,0.9297
Avenal_20210317_8_31_Stress_Featured.txt,0.151,0.766,0.083,-0.9883
Avenal_20210326_6_51_Full.txt,0.071,0.838,0.091,0.9879
Avenal_20210326_6_51_Infection.txt,0.096,0.844,0.059,-0.9783
Avenal_20210326_6_51_PrisonConditions1.txt,0.022,0.924,0.054,0.9065
Avenal_20210326_6_51_PrisonConditions2.txt,0.067,0.914,0.019,-0.9621
Avenal_20210326_6_51_Programs_Infection2.txt,0.106,0.833,0.061,-0.9727
Avenal_20210326_6_51_Stress_Infection3.txt,0.041,0.802,0.156,0.9887
Avenal_20210518_5_22_FULL_Infection_PrisonConditions_Stress.txt,0.027,0.735,0.238,0.9993
Avenal_20210916_71906_P1_FULL.txt,0.056,0.802,0.143,0.9995
Avenal_20210916_71906_P1_PrisonConditions_Family_Infection.txt,0.076,0.867,0.057,-0.9014
Avenal_20210916_71906_P1_Programs2_Infection2_Featured.txt,0.061,0.761,0.178,0.998
Avenal_20210916_71906_P1_Stress_ Infection3_Programs.txt,0.06,0.829,0.11,0.9759
Avenal_20210916_71906_P2_FULL.txt,0.055,0.827,0.118,0.9992
Avenal_20210916_71906_P2_Infection2_PrisonConditions2_Featured2.txt,0.068,0.813,0.119,0.9829
Avenal_20210916_71906_P2_Infection_PrisonConditions_Featured.txt,0.039,0.866,0.095,0.9889
Avenal_20210916_71906_P2_PrisonConditions2.txt,0.023,0.892,0.086,0.9486
Avenal_20210916_71906_P3_FULL.txt,0.082,0.75,0.169,0.9997
Avenal_20210916_71906_P3_PrisonConditions_Stress.txt,0.093,0.854,0.054,-0.9732
Avenal_20210916_71906_P3_Stress_PrisonConditions_Family.txt,0.085,0.875,0.04,-0.9127
Butte_Main_20220105_13697_FULL.txt,0.092,0.731,0.177,0.9996
