Week Number,Facility Name,Type,Level,Total Count,Facility Count,Facility Flair Mean ,Facility Flair 25%,Facility Flair 75%,Facility Flair Max,Facility Flair Min
57,CSATF,Prison,State,11,1,-0.986155211925507,-0.986155211925507,-0.986155211925507,-0.986155211925507,-0.986155211925507
64,CSATF,Prison,State,12,1,0.952423572540283,0.952423572540283,0.952423572540283,0.952423572540283,0.952423572540283
65,CSATF,Prison,State,11,1,-0.986971795558929,-0.986971795558929,-0.986971795558929,-0.986971795558929,-0.986971795558929
47,Centinela,Prison,State,10,1,-0.99997353553772,-0.99997353553772,-0.99997353553772,-0.99997353553772,-0.99997353553772
48,Centinela,Prison,State,13,1,-0.999996662139893,-0.999996662139893,-0.999996662139893,-0.999996662139893,-0.999996662139893
55,Centinela,Prison,State,14,1,-0.998631060123444,-0.998631060123444,-0.998631060123444,-0.998631060123444,-0.998631060123444
60,Centinela,Prison,State,26,1,-0.978093922138214,-0.978093922138214,-0.978093922138214,-0.978093922138214,-0.978093922138214
65,Centinela,Prison,State,11,1,-0.99818629026413,-0.99818629026413,-0.99818629026413,-0.99818629026413,-0.99818629026413
67,Centinela,Prison,State,12,1,-0.999850988388062,-0.999850988388062,-0.999850988388062,-0.999850988388062,-0.999850988388062
68,Centinela,Prison,State,51,1,-0.99998927116394,-0.99998927116394,-0.99998927116394,-0.99998927116394,-0.99998927116394
47,Chowchilla,Prison,State,10,1,-0.999994993209839,-0.999994993209839,-0.999994993209839,-0.999994993209839,-0.999994993209839
48,Chowchilla,Prison,State,13,1,-0.999992370605469,-0.999992370605469,-0.999992370605469,-0.999992370605469,-0.999992370605469
49,Chowchilla,Prison,State,23,1,-0.999933004379272,-0.999933004379272,-0.999933004379272,-0.999933004379272,-0.999933004379272
50,Chowchilla,Prison,State,17,1,-0.998462200164795,-0.998462200164795,-0.998462200164795,-0.998462200164795,-0.998462200164795
51,Chowchilla,Prison,State,15,3,-0.999522030353546,-0.999852806329727,-0.999313563108444,-0.998860478401184,-0.99993896484375
52,Chowchilla,Prison,State,18,1,-0.999839305877686,-0.999839305877686,-0.999839305877686,-0.999839305877686,-0.999839305877686
54,Chowchilla,Prison,State,15,1,-0.999949932098389,-0.999949932098389,-0.999949932098389,-0.999949932098389,-0.999949932098389
55,Chowchilla,Prison,State,14,1,-0.999979734420776,-0.999979734420776,-0.999979734420776,-0.999979734420776,-0.999979734420776
57,Chowchilla,Prison,State,11,1,-0.939501941204071,-0.939501941204071,-0.939501941204071,-0.939501941204071,-0.939501941204071
