Filename,Date,Sentiment Numeric,FlairSentiment,FlairPolarity,NLTK_Negative,NLTK_Neutral,NLTK_Positive,NLTK_Compound,Facility Name,Name in Prison,County,Population,Level,Type,Tags,Week Number,Start Date,End Date,case number,case rate,death number,death rate,Persent Occupied
Solano_20201214_7_54_FULL,2020-12-14,0,NEGATIVE,-0.999988079071045,0.052,0.885,0.063,0.893,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],50,2020-12-14,2020-12-20,140.0,0.037654653039268400,0.0,0.0,143.3
Solano_20201217_05_27_FULL_3calls,2020-12-17,0,NEGATIVE,-0.99829763174057,0.088,0.784,0.128,0.9996,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],50,2020-12-14,2020-12-20,140.0,0.037654653039268400,0.0,0.0,143.3
Solano_20201221_06_00_FULL,2020-12-21,0,NEGATIVE,-0.999226450920105,0.047,0.776,0.178,0.9996,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],51,2020-12-21,2020-12-27,151.0,0.04061323292092520,0.0,0.0,143.3
Solano_20201221_05_31_FULL,2020-12-21,0,NEGATIVE,-0.99997878074646,0.067,0.802,0.131,0.9992,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],51,2020-12-21,2020-12-27,151.0,0.04061323292092520,0.0,0.0,143.3
Solano_20210123_03_05_FULL,2021-01-23,0,NEGATIVE,-0.998757839202881,0.068,0.778,0.154,0.9997,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],55,2021-01-18,2021-01-24,184.0,0.04948897256589560,0.0,0.0,143.3
Solano_20210224_464_Full_Stress_PrisonConditions_Infection,2021-02-24,1,POSITIVE,0.992396414279938,0.082,0.74,0.178,0.9958,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,"['Stress', ' Prison Conditions', ' Infection']",60,2021-02-22,2021-02-28,0.0,0.0,0.0,0.0,143.3
Solano_20210225_470_FULL_Infection_Stress_Family,2021-02-25,0,NEGATIVE,-0.99994695186615,0.081,0.787,0.132,0.7717,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,"['Infection', ' Stress', ' Family']",60,2021-02-22,2021-02-28,0.0,0.0,0.0,0.0,143.3
Solano_20210308_05_50_FULL,2021-03-08,0,NEGATIVE,-0.99994695186615,0.072,0.81,0.118,0.9979,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],62,2021-03-08,2021-03-14,0.0,0.0,0.0,0.0,143.3
Solano_20210309_652_FULL_StressPrisonConditionsFamily,2021-03-09,0,NEGATIVE,-0.999265968799591,0.096,0.76,0.144,0.9366,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,"['Stress', ' Prison Conditions', ' Family']",62,2021-03-08,2021-03-14,0.0,0.0,0.0,0.0,143.3
Solano_20210312_666_FULL,2021-03-12,1,POSITIVE,0.642700612545013,0.094,0.742,0.165,0.9995,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],62,2021-03-08,2021-03-14,0.0,0.0,0.0,0.0,143.3
Solano_20210312_663_Full,2021-03-12,0,NEGATIVE,-0.999485492706299,0.09,0.84,0.07,-0.9934,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],62,2021-03-08,2021-03-14,0.0,0.0,0.0,0.0,143.3
Solano_20210317_568_FULL,2021-03-17,0,NEGATIVE,-0.999890327453613,0.027,0.888,0.086,0.9879,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],63,2021-03-15,2021-03-21,1.0,0.00026896180742334600,0.0,0.0,143.3
Solano_20210322_05_04_FULL,2021-03-22,0,NEGATIVE,-0.998745918273926,0.054,0.804,0.142,0.999,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],64,2021-03-22,2021-03-28,1.0,0.00026896180742334600,0.0,0.0,143.3
Solano_20210326_20348_FULL,2021-03-26,0,NEGATIVE,-0.999953150749206,0.09,0.845,0.065,-0.9794,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],64,2021-03-22,2021-03-28,1.0,0.00026896180742334600,0.0,0.0,143.3
Solano_20210402_611_FULL_Family_Stress,2021-04-02,0,NEGATIVE,-0.937903523445129,0.107,0.809,0.083,-0.8576,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,"['Family', ' Stress']",65,2021-03-29,2021-04-04,0.0,0.0,0.0,0.0,143.3
Solano_20210427_886_FULL,2021-04-27,0,NEGATIVE,-0.999794185161591,0.122,0.81,0.068,-0.9973,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],69,2021-04-26,2021-05-02,1.0,0.00026896180742334600,0.0,0.0,143.3
Solano_20210504_737_FULL,2021-05-04,0,NEGATIVE,-0.995193660259247,0.068,0.846,0.085,0.9313,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],70,2021-05-03,2021-05-09,0.0,0.0,0.0,0.0,143.3
Solano_20210831_10115_FULL,2021-08-31,0,NEGATIVE,-0.99849009513855,0.054,0.818,0.129,0.993,Solano,California State Prison-Solano (SOL),Solano,3718.0,State,Prison,[''],87,2021-08-30,2021-09-05,15.0,0.004034427111350190,0.0,0.0,143.3
