Week_Number,total,Month_Number,month_total
47,1,Month 12,1
67,7,Month 17,21
68,14,Month 17,21
69,4,Month 18,5
72,1,Month 18,5
87,4,Month 22,6
88,2,Month 22,6
89,2,Month 23,2
