word,positive_count,negative_count,part_of_speech
isolation,22,190,NN
happening,12,190,VBG
hands,41,189,NNS
temperature,12,188,NN
means,29,187,NNS
chance,39,187,NN
seeing,33,187,VBG
door,23,186,NN
institution,20,186,NN
process,23,185,NN
continue,45,185,NN
sentence,33,185,NN
speak,25,185,NN
placed,21,185,VBN
release,25,184,NN
human,30,183,NN
stress,26,183,NN
none,15,182,NN
dear,44,182,NN
dealing,28,182,VBG
college,41,181,NN
past,35,181,NN
phones,10,180,NNS
walk,24,180,NN
april,20,180,NN
theyll,11,180,NN
doctor,13,180,NN
takes,17,180,VBZ
school,32,179,NN
issue,10,178,NN
yards,10,178,NNS
top,16,177,NN
public,9,177,NN
run,22,177,VB
become,37,176,NN
percent,20,176,NN
exposed,8,176,VBN
mail,27,175,NN
putting,11,175,VBG
bringing,15,175,VBG
set,31,174,NN
watch,28,174,NN
show,22,174,NN
gotten,18,174,NNS
allow,22,174,VB
eat,26,173,NN
ended,16,173,VBN
receive,35,172,NN
hey,18,172,NN
january,24,171,NN
longer,18,171,NN
sorry,20,171,NN
visitation,34,170,NN
crisis,45,170,NN
asking,23,170,VBG
thinking,40,169,VBG
coping,55,169,VBG
groups,28,168,NNS
hes,19,168,NNS
tried,13,167,VBN
needed,29,167,VBN
rest,27,166,NN
date,24,163,NN
nurses,21,163,NNS
pay,19,163,NN
body,25,163,NN
pass,21,163,NN
running,24,163,VBG
released,22,163,VBN
heart,43,162,NN
access,12,162,NN
blood,13,162,NN
november,10,161,NN
quentin,10,161,NN
stressful,23,161,NN
treatment,14,161,NN
began,18,161,VBD
fear,23,160,NN
society,38,160,NN
answer,31,159,NN
results,8,159,NNS
stories,37,158,NNS
wrote,25,158,VBD
shots,20,157,NNS
pray,55,157,NN
question,33,156,NN
dying,20,156,VBG
workers,13,154,NNS
law,16,153,NN
project,65,153,NN
wish,37,153,NN
coronavirus,12,153,NN
air,12,153,NN
water,23,152,NN
head,21,152,NN
scared,15,152,VBN
keeping,34,152,VBG
forced,11,151,VBN
seem,13,150,NN
looking,39,150,VBG
individuals,16,149,NNS
