Date,InstitutionName,Latitude,Longitude,TotalConfirmed,TotalDeaths,DistinctPatientsTested,NewInTheLast14Days
12/29/2022,Avenal State Prison (ASP),35.930765999999998,-120.10057,4342,8,50,0
12/29/2022,California City Correctional Facility (CAC),35.139327000000002,-117.91473,1831,2,138,2
12/29/2022,Calipatria State Prison (CAL),33.131763999999997,-115.51208,1482,3,19,1
12/29/2022,California Correctional Center (CCC),40.446063000000002,-120.664132,2598,0,0,0
12/29/2022,California Correctional Institution (CCI),35.132672999999997,-118.50781,1823,4,37,6
12/29/2022,Central California Women's Facility (CCWF),37.100417,-120.27864,2394,1,103,71
12/29/2022,California State Prison-Centinela (CEN),32.853470999999999,-115.58942,1190,1,24,4
12/29/2022,California Health Care Facility (CHCF),37.955474000000002,-121.19064,1908,23,321,32
12/29/2022,California Institution for Men (CIM),34.015962999999999,-117.68737,3887,30,76,27
12/29/2022,California Institution for Women (CIW),33.903803000000003,-117.60221,1074,1,52,19
12/29/2022,California Men's Colony (CMC),35.221085000000002,-120.636399,3718,13,117,9
12/29/2022,California Medical Facility (CMF),38.348959999999998,-121.908324,1980,13,173,28
12/29/2022,California State Prison-Corcoran (COR),36.085341999999997,-119.5548,2611,9,176,19
12/29/2022,California Rehabilitation Center (CRC),33.925885000000001,-117.55978,3788,1,359,219
12/29/2022,Correctional Training Facility (CTF),36.411760000000001,-121.32617,3577,21,19,0
12/29/2022,Chuckawalla Valley State Prison (CVSP),33.628332999999998,-114.61905,2799,9,20,1
12/29/2022,Deuel Vocational Institution (DVI),37.728417,-121.42399,545,0,0,0
12/29/2022,Folsom State Prison (FSP),38.672127000000003,-121.15783,2907,2,78,9
12/29/2022,High Desert State Prison (HDSP),40.474950999999997,-120.67685,2299,2,34,14
12/29/2022,Ironwood State Prison (ISP),33.598689999999998,-114.652517,3154,1,71,13
12/29/2022,Kern Valley State Prison (KVSP),35.771875999999999,-119.26984,1463,7,71,102
12/29/2022,California State Prison-Los Angeles County (LAC),34.728856999999998,-118.32683,2311,15,141,39
12/29/2022,Mule Creek State Prison (MCSP),38.346131999999997,-120.94516,3360,9,100,36
12/29/2022,North Kern State Prison (NKSP),35.774966999999997,-119.23371,4266,6,416,121
12/29/2022,Pelican Bay State Prison (PBSP),41.782680999999997,-124.16703,922,0,35,6
12/29/2022,Pleasant Valley State Prison (PVSP),36.194735999999999,-120.30865,2772,3,69,13
12/29/2022,Richard J. Donovan Correctional Facility (RJD),32.572602000000003,-116.918724,1746,21,63,5
12/29/2022,California State Prison-Sacramento (SAC),38.694032999999997,-121.152413,1001,2,43,9
12/29/2022,Substance Abuse Treatment Facility (SATF),36.177360999999998,-119.82042,4832,8,72,3
12/29/2022,Sierra Conservation Center (SCC),37.867243000000002,-120.49157,3386,0,123,41
12/29/2022,California State Prison-Solano (SOL),38.344009999999997,-121.95333,2075,7,141,23
12/29/2022,San Quentin State Prison (SQ),37.943365,-122.49029,3240,28,50,3
12/29/2022,Salinas Valley State Prison (SVSP),36.518179000000003,-121.42557,1283,6,181,3
12/29/2022,Valley State Prison (VSP),37.127524999999999,-120.50574,2251,2,29,1
12/29/2022,Wasco State Prison (WSP),35.605044999999997,-119.37143,5242,2,684,143
12/28/2022,Avenal State Prison (ASP),35.930765999999998,-120.10057,4342,8,50,1
12/28/2022,California City Correctional Facility (CAC),35.139327000000002,-117.91473,1831,2,202,2
12/28/2022,Calipatria State Prison (CAL),33.131763999999997,-115.51208,1482,3,228,1
12/28/2022,California Correctional Center (CCC),40.446063000000002,-120.664132,2598,0,0,0
12/28/2022,California Correctional Institution (CCI),35.132672999999997,-118.50781,1823,4,180,6
12/28/2022,Central California Women's Facility (CCWF),37.100417,-120.27864,2382,1,59,60
12/28/2022,California State Prison-Centinela (CEN),32.853470999999999,-115.58942,1190,1,23,4
12/28/2022,California Health Care Facility (CHCF),37.955474000000002,-121.19064,1908,23,445,35
12/28/2022,California Institution for Men (CIM),34.015962999999999,-117.68737,3886,30,267,27
12/28/2022,California Institution for Women (CIW),33.903803000000003,-117.60221,1070,1,189,15
12/28/2022,California Men's Colony (CMC),35.221085000000002,-120.636399,3718,13,127,12
12/28/2022,California Medical Facility (CMF),38.348959999999998,-121.908324,1980,13,287,32
12/28/2022,California State Prison-Corcoran (COR),36.085341999999997,-119.5548,2611,9,41,20
