Date,InstitutionName,Latitude,Longitude,TotalConfirmed,TotalDeaths,DistinctPatientsTested,NewInTheLast14Days,StartDate,EndDate
12/30/2020,California Men's Colony (CMC),35.221085000000002,-120.636399,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/30/2020,California Medical Facility (CMF),38.348959999999998,-121.908324,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/30/2020,California State Prison-Corcoran (COR),36.085341999999997,-119.5548,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/30/2020,California Rehabilitation Center (CRC),33.925885000000001,-117.55978,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/30/2020,Correctional Training Facility (CTF),36.411760000000001,-121.32617,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/30/2020,Chuckawalla Valley State Prison (CVSP),33.628332999999998,-114.61905,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/30/2020,Deuel Vocational Institution (DVI),37.728417,-121.42399,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/30/2020,Folsom State Prison (FSP),38.672127000000003,-121.15783,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/30/2020,High Desert State Prison (HDSP),40.474950999999997,-120.67685,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/30/2020,Ironwood State Prison (ISP),33.598689999999998,-114.652517,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/30/2020,Kern Valley State Prison (KVSP),35.771875999999999,-119.26984,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/30/2020,California State Prison-Los Angeles County (LAC),34.728856999999998,-118.32683,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/30/2020,Mule Creek State Prison (MCSP),38.346131999999997,-120.94516,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/30/2020,North Kern State Prison (NKSP),35.774966999999997,-119.23371,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/30/2020,Pelican Bay State Prison (PBSP),41.782680999999997,-124.16703,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/30/2020,Pleasant Valley State Prison (PVSP),36.194735999999999,-120.30865,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/30/2020,Richard J. Donovan Correctional Facility (RJD),32.572602000000003,-116.918724,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
12/30/2020,California State Prison-Sacramento (SAC),38.694032999999997,-121.152413,0,0,0,0,2020-12-26 00:00:00,2021-01-02 00:00:00
