Filename,Sentiment,Polarity,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Compound Sentiment
CMC_20210125_332_Full_Infection,NEGATIVE,3.457069396972656e-06,0.208,0.758,0.034,-0.9917
CMC_20210125_333_Full_Stress_Feature,POSITIVE,0.5948232412338257,0.056,0.776,0.168,0.9873
CMC_20210126_336_FULL,NEGATIVE,0.0109777450561524,0.135,0.794,0.071,-0.9983
CMC_20210126_336_Infection,NEGATIVE,0.0001780390739439,0.116,0.821,0.064,-0.9839
CMC_20210126_336_PrisonConditions_Stress_Feature,NEGATIVE,0.0006898641586303,0.159,0.775,0.066,-0.9968
CMC_20210129_307_FULL,NEGATIVE,0.0052323341369627,0.066,0.83,0.104,0.8783
CMC_20210129_308_Full_PrisonConditions,POSITIVE,0.7935248017311096,0.048,0.831,0.121,0.931
CMC_20210208_346_FULL_Stress_Infection_PrisonConditions,NEGATIVE,0.00041526556015,0.067,0.833,0.1,0.9472
CMC_20210209_363_full,NEGATIVE,0.0006152391433715,0.126,0.773,0.101,-0.8444
CMC_20210210_355_Full,NEGATIVE,6.437301635631165e-06,0.143,0.755,0.102,-0.9443
CMC_20210210_356_FULL_PrisonConditions_Infection,NEGATIVE,4.112720489501953e-05,0.146,0.781,0.073,-0.9912
CMC_20210210_356_PrisonConditons_Infection,NEGATIVE,1.6570091247558594e-05,0.151,0.778,0.072,-0.9918
CMC_20210210_357_FULL,NEGATIVE,0.0730782747268675,0.091,0.813,0.096,-0.1225
CMC_20210210_357_Infection,NEGATIVE,6.67572021484375e-05,0.122,0.811,0.067,-0.9821
CMC_20210210_358_FULL_Stress,NEGATIVE,0.0010536313056945,0.061,0.806,0.133,0.7579
CMC_20210210_358_Prison_Conditions,NEGATIVE,0.000665009021759,0.062,0.804,0.134,0.7579
CMC_20210210_359_FULL,NEGATIVE,0.0088785886764526,0.116,0.798,0.086,-0.9975
CMC_20210210_359_PrisonConditions,NEGATIVE,0.0002810359001159,0.114,0.867,0.019,-0.9884
CMC_20210210_359_PrisonConditionsFeature,NEGATIVE,0.0001277923583984,0.054,0.918,0.028,-0.9383
CMC_20210210_359_StressInfection,NEGATIVE,0.0005193352699279,0.122,0.777,0.1,-0.746
CMC_20210211_446_Family_Stress,NEGATIVE,0.0002222657203674,0.082,0.811,0.107,0.6192
CMC_20210211_446_FULL,NEGATIVE,0.0001968741416932,0.069,0.785,0.146,0.9927
CMC_20210211_446_PrisonConditions_Stress_Infection,NEGATIVE,5.781650543201789e-05,0.059,0.834,0.107,0.9432
CMC_20210211_447_FULL_Family_Infection,NEGATIVE,0.0728031396865843,0.039,0.774,0.187,0.9855
CMC_20210211_532_FULL_PrisonCoditions_Infection,NEGATIVE,2.968311309803351e-05,0.11,0.832,0.058,-0.9788
CMC_20210212_0551_FULL,NEGATIVE,0.0003234148025511,0.017,0.821,0.161,0.9994
CMC_20210212_0551_Infection,NEGATIVE,1.5497207641601562e-05,0.033,0.831,0.136,0.9754
CMC_20210212_0551_PrisonConditions,NEGATIVE,0.0121440291404724,0.029,0.865,0.106,0.9942
CMC_20210212_07_21_Family,NEGATIVE,3.898143768321649e-05,0.065,0.817,0.118,0.9615
CMC_20210212_07_21_Full,NEGATIVE,0.0007760524749755,0.057,0.837,0.107,0.9975
CMC_20210212_07_21_PrisonConditions3,NEGATIVE,0.0033212900161744,0.043,0.93,0.027,-0.4299
CMC_20210212_07_21_PrisonConditions4,NEGATIVE,1.0728836059570312e-05,0.035,0.847,0.118,0.9848
CMC_20210212_07_21_Stress1_PrisonConditions1,NEGATIVE,3.743171691894531e-05,0.016,0.893,0.091,0.9015
CMC_20210212_07_21_Stress2_PrisonConditions_2,NEGATIVE,7.975101470958368e-05,0.066,0.844,0.09,0.8205
CMC_20210212_438_Full_InfectionPrisonConditionsStress,NEGATIVE,5.483627319224915e-06,0.096,0.797,0.107,0.5952
CMC_20210212_439_FULL,NEGATIVE,9.536743163951478e-06,0.153,0.778,0.069,-0.9954
CMC_20210212_439_Infection_Stress,NEGATIVE,5.602836608775696e-06,0.182,0.756,0.062,-0.9927
CMC_20210212_439_PrisonConditions_Stress,NEGATIVE,0.0001126527786255,0.11,0.825,0.065,-0.9287
CMC_20210216_425_FULL_Stress,NEGATIVE,0.3124004602432251,0.089,0.726,0.185,0.9805
CMC_20210216_426_FULL_Infection_PrisonConditions,NEGATIVE,0.0002326369285583,0.071,0.835,0.094,0.9527
CMC_20210217_401_FULL_FamilyInfectionStress,NEGATIVE,8.583068847545228e-06,0.055,0.819,0.126,0.8625
CMC_20210219_413_FULL,NEGATIVE,2.813339233398437e-05,0.07,0.876,0.054,-0.9046
CMC_20210219_413_Infection_PrisonConditions,NEGATIVE,6.818771362304688e-05,0.095,0.864,0.041,-0.9613
CMC_20210219_413_Stress,NEGATIVE,4.911422729481085e-05,0.075,0.892,0.033,-0.9761
CMC_20210221_488_FULL_Family_Infection_PrisonConditions,NEGATIVE,0.1530501246452331,0.128,0.67,0.202,0.9863
CMC_20210222_454_FULL_Infection,NEGATIVE,0.2819165587425232,0.064,0.661,0.275,0.9975
CMC_20210222_490_Full,NEGATIVE,0.0034645795822143,0.126,0.747,0.126,-0.7312
CMC_20210222_490_Infection,NEGATIVE,0.0007671117782591,0.175,0.713,0.112,-0.8915
CMC_20210222_490_StressAndFamily,POSITIVE,0.9885600209236144,0.112,0.799,0.089,-0.8735
CMC_20210223_499_FULL,NEGATIVE,0.0179055333137512,0.124,0.734,0.142,0.9318
CMC_20210223_499_InfectionStress,NEGATIVE,0.4848967790603637,0.168,0.682,0.15,-0.6766
CMC_20210224_465_FULL,NEGATIVE,0.0001475811004639,0.048,0.809,0.142,0.9978
CMC_20210224_465_PrisonconditionsInfection,NEGATIVE,0.0001717805862427,0.103,0.809,0.088,-0.2237
CMC_20210224_465_PrisonconditionsStressProgram,NEGATIVE,1.3232231140025696e-05,0.059,0.841,0.1,0.9292
CMC_20210225_472_FULL_Programs_Stress,NEGATIVE,0.1321592330932617,0.079,0.772,0.149,0.9768
CMC_20210225_473_Family_Infection,NEGATIVE,2.384185791015625e-05,0.073,0.864,0.063,0.1427
CMC_20210225_473_FULL,NEGATIVE,0.0862126350402832,0.094,0.739,0.167,0.9881
CMC_20210302_524_FULL,NEGATIVE,6.9141387939453125e-06,0.275,0.628,0.097,-0.9998
CMC_20210302_524_PrisonConditions_Family_Stress,NEGATIVE,1.156330108642578e-05,0.288,0.658,0.055,-0.9993
CMC_20210302_524_PrisonConditions_Stress_Programs,NEGATIVE,9.298324584960938e-06,0.261,0.608,0.131,-0.9989
CMC_20210305_532_Infection_Family_Programs_PrisonConditions,NEGATIVE,4.9233436584361634e-05,0.107,0.837,0.056,-0.9762
CMC_20210308_656_FULL_InfectionPrisonConditions,NEGATIVE,2.634525299083368e-05,0.121,0.766,0.113,-0.3919
CMC_20210316_550_FULL,NEGATIVE,0.0500058531761168,0.118,0.73,0.152,0.9477
CMC_20210316_550_PrisonConditions_Family_Stress,NEGATIVE,7.331371307361945e-05,0.129,0.754,0.117,-0.4035
CMC_20210322_626_FULL,NEGATIVE,0.0559292435646056,0.059,0.755,0.186,0.9953
CMC_20210322_626_InfectionStress,NEGATIVE,0.0007265210151672,0.089,0.761,0.149,0.9418
CMC_20210412_955_FULL,POSITIVE,0.8778696656227112,0.025,0.738,0.237,0.9881
CMC_20210412_956_FULL_Infection,NEGATIVE,1.907348632801397e-05,0.032,0.739,0.229,0.9647
CMC_20210415_944_FULL_PrisonConditionsStressFamily,NEGATIVE,4.76837158203125e-07,0.105,0.758,0.137,0.5697
CMC_20210420_711_FULL_Infection_PrisonConditions,NEGATIVE,0.0003057718276977,0.177,0.729,0.094,-0.9896
Coalinga_20210915_27568_FULL_Family,NEGATIVE,0.0001178979873656,0.036,0.832,0.132,0.9888
Coalinga_20220126_48362_Family_PrisonConditions,NEGATIVE,1.7642974853626647e-05,0.036,0.898,0.066,0.6413
Coalinga_20220126_48362_FULL,NEGATIVE,1.2874603271595396e-05,0.094,0.802,0.104,-0.7365
Coalinga_20220126_48362_Infection_PrisonConditions,NEGATIVE,6.580352783203125e-05,0.062,0.839,0.1,0.8079
Colusa_Main_20220223_92810_FULL,NEGATIVE,0.0127295255661011,0.037,0.774,0.188,0.9998
Colusa_Main_20220223_92810_PrisonConditions2_Infection2,NEGATIVE,0.000249445438385,0.03,0.781,0.19,0.9974
Colusa_Main_20220223_92810_PrisonConditions_Infection,NEGATIVE,0.0053732991218568,0.031,0.806,0.163,0.9966
Colusa_Main_20220228_64095_Family2_Stress,NEGATIVE,0.0151323676109313,0.062,0.809,0.129,0.9924
Colusa_Main_20220228_64095_Family_Infection,NEGATIVE,0.0038910508155823,0.055,0.795,0.151,0.976
Colusa_Main_20220228_64095_FULL,NEGATIVE,0.0058012008666992,0.056,0.773,0.171,0.9998
Colusa_Main_20220228_64095_Infection2,NEGATIVE,0.0010003447532653,0.005,0.832,0.162,0.9925
Colusa_Main_20220228_64095_Stress2,NEGATIVE,0.0156802535057067,0.078,0.807,0.116,0.8654
Colusa_Main_20220228_64095_Stress3,NEGATIVE,0.3027476668357849,0.027,0.749,0.224,0.9977
Colusa_Main_20220301_17487_Family_Infection2_PrisoncConditions2,NEGATIVE,0.0002577900886535,0.028,0.91,0.062,0.9625
Colusa_Main_20220301_17487_FULL,NEGATIVE,0.0016932487487791,0.054,0.844,0.102,0.9962
Colusa_Main_20220301_17487_Infection_PrisonConditions,NEGATIVE,3.4928321838378906e-05,0.077,0.82,0.103,0.9446
Colusa_Main_20220301_17703_FULL,NEGATIVE,2.443790435802118e-05,0.066,0.787,0.147,0.9984
Colusa_Main_20220301_17703_Infection2_PrisonConditions2,NEGATIVE,0.000184953212738,0.033,0.88,0.087,0.8944
Colusa_Main_20220301_17703_PrisonConditions1_Infection1,NEGATIVE,2.276897430419922e-05,0.088,0.859,0.053,-0.9389
Colusa_Main_20220301_17703_PrisonConditions3,NEGATIVE,0.0020865797996519,0.087,0.82,0.094,-0.5758
Colusa_Main_20220301_85514_FULL_PrisonConditions,NEGATIVE,0.0006873607635498,0.033,0.857,0.109,0.989
ContraCosta_Martinez_20220222_31412_Family_Stress_Programs,NEGATIVE,3.206729888916016e-05,0.067,0.788,0.145,0.9878
ContraCosta_Martinez_20220222_31412_FULL,NEGATIVE,1.0132789611816406e-05,0.055,0.77,0.175,0.9996
ContraCosta_Martinez_20220222_31412_PrisonConditions_Infection,NEGATIVE,1.0132789611816406e-05,0.02,0.854,0.126,0.9933
ContraCosta_Martinez_20220222_31412_Stress,NEGATIVE,0.0005110502243041,0.045,0.798,0.157,0.9861
Corcoran_20201103_07_39_Family,NEGATIVE,0.0324465632438659,0.042,0.745,0.213,0.9961
Corcoran_20201103_07_39_FULL,NEGATIVE,0.0001033544540404,0.076,0.756,0.168,0.9996
Corcoran_20201103_07_39_Infection,NEGATIVE,0.0003633499145507,0.074,0.787,0.139,0.9888
Corcoran_20201103_07_39_PrisonConditions,NEGATIVE,1.3828277588001647e-05,0.092,0.793,0.115,0.9645
Corcoran_20201103_07_39_Stress,NEGATIVE,0.0011993646621704,0.047,0.771,0.181,0.9884
Corcoran_20201224_213_Family,NEGATIVE,6.73532485961914e-05,0.174,0.711,0.115,-0.8197
Corcoran_20201224_213_FULL,NEGATIVE,0.0036666393280028,0.137,0.682,0.181,0.9887
Corcoran_20201224_213_Stress1,NEGATIVE,9.059906005970396e-06,0.16,0.732,0.108,-0.8368
Corcoran_20201230_162_Full_Program_Family,NEGATIVE,4.43458557127796e-05,0.083,0.853,0.064,0.4411
Corcoran_20210105_07_43_Family,NEGATIVE,0.0003451108932496,0.089,0.768,0.142,0.5867
Corcoran_20210105_07_43_full,NEGATIVE,0.0002111792564392,0.061,0.772,0.167,0.999
Corcoran_20210105_07_43_infection,NEGATIVE,7.998943328857422e-05,0.016,0.866,0.118,0.8397
Corcoran_20210105_07_43_PrisonConditions,NEGATIVE,0.0003113746643066,0.102,0.817,0.082,-0.8819
Corcoran_20210105_07_43_PrisonConditions2,NEGATIVE,4.553794860839844e-05,0.042,0.816,0.142,0.9587
Corcoran_20210105_07_43_PrisonConditions3,POSITIVE,0.7450435757637024,0.055,0.804,0.141,0.8385
Corcoran_20210105_07_43_Programs,NEGATIVE,6.318092346202508e-05,0.04,0.836,0.124,0.9455
Corcoran_20210421_637_FULL_Infection_Family_Programs,NEGATIVE,0.0002308487892151,0.059,0.786,0.154,0.9724
Corcoran_20210428_320_FamilyInfectionPrisonConditions1,NEGATIVE,0.0015375614166259,0.104,0.843,0.053,-0.9804
Corcoran_20210428_320_FamilyInfectionPrisonConditions2,NEGATIVE,2.837181091319696e-05,0.094,0.832,0.075,-0.9687
Corcoran_20210428_320_FULL,NEGATIVE,0.0012124180793762,0.085,0.805,0.11,0.9759
Corcoran_20210428_320_StressInfectionPrisonConditions3,NEGATIVE,0.000146746635437,0.047,0.834,0.119,0.9864
Corcoran_20210518_6_21_FamilyStress,NEGATIVE,0.0018460154533386,0.14,0.82,0.04,-0.9705
Corcoran_20210518_6_21_FULL,NEGATIVE,2.789497375477179e-05,0.096,0.781,0.124,0.9915
Corcoran_20210518_6_21_PrisonConditionsInfection,NEGATIVE,6.341934204101562e-05,0.075,0.849,0.075,0.0
Corcoran_20210519_1835_FULL,POSITIVE,0.8068248629570007,0.125,0.686,0.189,0.9487
Corcoran_20210519_1835_Infection,POSITIVE,0.8068248629570007,0.125,0.686,0.189,0.9487
Corcoran_20210824_21225_FULL,NEGATIVE,4.7326087951549134e-05,0.058,0.828,0.114,0.9989
Corcoran_20210824_21225_Infection_Family_Featured,NEGATIVE,4.351139068603516e-05,0.05,0.91,0.04,-0.7397
Corcoran_20210824_21225_PrisonConditions_Featured,NEGATIVE,0.0002962946891783,0.024,0.902,0.074,0.9101
Corcoran_20211209_83877_Family,NEGATIVE,0.0073184370994567,0.058,0.842,0.1,0.9422
Corcoran_20211209_83877_FULL,NEGATIVE,1.5616416931152344e-05,0.059,0.814,0.126,0.9994
Corcoran_20211209_83877_Infection,NEGATIVE,0.0002489686012268,0.031,0.908,0.061,0.8577
Corcoran_20211209_83877_PrisonConditions1,NEGATIVE,1.5616416931152344e-05,0.055,0.842,0.103,0.9631
Corcoran_20211209_83877_PrisonConditions2,NEGATIVE,0.00146484375,0.024,0.881,0.094,0.9617
Corcoran_20211209_83877_PrisonConditions3_Infection2_Family2,NEGATIVE,0.0001587867736816,0.085,0.794,0.121,0.9497
CSATF_20201123_66_FULL,NEGATIVE,0.0284863114356995,0.139,0.822,0.038,-0.9885
CSATF_20201214_141_FULL,POSITIVE,0.9865663647651672,0.08,0.745,0.175,0.9991
CSATF_20201214_141_PrisonConditions,NEGATIVE,3.373622894276007e-05,0.055,0.81,0.136,0.9578
CSATF_20201214_141_Stress,NEGATIVE,0.165023922920227,0.131,0.728,0.141,0.0735
CSATF_20201216_256_FULL,NEGATIVE,0.3255810141563415,0.11,0.807,0.084,-0.9918
CSATF_20201216_256_Infection_Family_Stress,NEGATIVE,0.0002481341361999,0.089,0.804,0.106,0.9303
CSATF_20201216_256_Infection_PrisonConditions,NEGATIVE,0.0009636878967284,0.067,0.875,0.058,-0.895
CSATF_20201231_167_FULL,NEGATIVE,0.3778435587882995,0.133,0.738,0.128,-0.3024
CSATF_20210105_243_Full_Infection_PrisonConditions,NEGATIVE,0.0011548995971679,0.072,0.752,0.176,0.9685
CSATF_20210106_250_FULL,NEGATIVE,9.179115295410156e-06,0.18,0.711,0.109,-0.996
CSATF_20210106_250_PrisonConditions,NEGATIVE,2.1457672119251647e-05,0.2,0.68,0.12,-0.9889
CSATF_20210106_250_Stress,NEGATIVE,3.612041473399774e-05,0.085,0.808,0.107,0.8401
CSATF_20210106_251_FULL_PrisonConditions_Infection,NEGATIVE,0.007426381111145,0.088,0.766,0.146,0.8488
CSATF_20210107_228_Full_Infection,NEGATIVE,3.24249267578125e-05,0.123,0.762,0.115,-0.2732
CSATF_20210107_229_Full_Infection_Family_PrisonConditions,NEGATIVE,0.0111815333366394,0.108,0.803,0.089,-0.7808
CSATF_20210107_230_FULL,NEGATIVE,1.0013580322376647e-05,0.098,0.734,0.168,0.9328
CSATF_20210107_231_FULL,NEGATIVE,7.271766662597656e-06,0.055,0.773,0.173,0.9848
CSATF_20210107_231_Prisonconditions,NEGATIVE,7.271766662597656e-06,0.055,0.773,0.173,0.9848
CSATF_20210107_232_FULL,NEGATIVE,0.0001954436302183,0.1,0.803,0.097,0.5251
CSATF_20210107_232_PrisonconditionsStressFamily,NEGATIVE,5.900859832763672e-05,0.111,0.794,0.095,-0.5472
CSATF_20210108_235_FamilyPrograms,NEGATIVE,0.4165254831314087,0.12,0.736,0.145,0.8388
CSATF_20210108_235_FULL,NEGATIVE,0.1935436129570007,0.1,0.751,0.149,0.9933
CSATF_20210108_236_Full,POSITIVE,0.8097912669181824,0.086,0.736,0.178,0.9959
CSATF_20210108_236_Stress_Family,NEGATIVE,0.056632161140442,0.154,0.82,0.025,-0.982
CSATF_20210108_239_Full,NEGATIVE,0.000578999519348,0.135,0.805,0.06,-0.994
CSATF_20210108_239_PrisonConditons,NEGATIVE,7.271766662597656e-06,0.23,0.731,0.039,-0.9933
CSATF_20210108_239_Stress,NEGATIVE,0.000102400779724,0.101,0.826,0.073,-0.7747
CSATF_20210108_240_Full,NEGATIVE,0.0002272725105285,0.107,0.749,0.143,0.9008
CSATF_20210108_240_Prisonconditions_stress,NEGATIVE,0.0001043081283568,0.11,0.759,0.132,0.8096
CSATF_20210108_242_Full_Programs,NEGATIVE,0.0122776031494139,0.114,0.827,0.06,-0.9677
CSATF_20210111_258_FULL,NEGATIVE,0.0030189156532287,0.105,0.865,0.03,-0.9979
CSATF_20210111_258_Infection,NEGATIVE,0.0051050782203674,0.126,0.874,0.0,-0.9734
CSATF_20210111_259_Full_Infection_PrisonConditions,NEGATIVE,0.0002515912055968,0.054,0.764,0.182,0.9754
CSATF_20210111_261_FULL_Stress_Programs,NEGATIVE,0.103171169757843,0.079,0.775,0.146,0.9743
CSATF_20210111_279_FULL,NEGATIVE,0.0111542344093323,0.155,0.686,0.16,0.9261
CSATF_20210111_279_Infection_Family,NEGATIVE,2.1338462829589844e-05,0.185,0.703,0.112,-0.9735
CSATF_20210111_279_PrisonConditions_and_Stress,NEGATIVE,2.884864807117804e-05,0.178,0.683,0.139,-0.9684
CSATF_20210111_281_FULL_PrisonConditions_Infection,NEGATIVE,0.0021253824234007,0.118,0.774,0.107,-0.8488
CSATF_20210111_283_FULL_PrisonConditions_Stress,NEGATIVE,0.0009470582008361,0.157,0.744,0.098,-0.9937
CSATF_20210112_278_FULL_Stress,NEGATIVE,7.677078247081415e-05,0.138,0.73,0.132,0.5626
CSATF_20210113_227_FULL,NEGATIVE,0.061281442642212,0.059,0.812,0.129,0.9726
CSATF_20210113_227_PrisonConditions,NEGATIVE,3.552436828602179e-05,0.106,0.795,0.099,-0.4278
CSATF_20210114_265_Family,NEGATIVE,1.4066696166992188e-05,0.15,0.739,0.111,-0.9585
CSATF_20210114_265_FULL.docx,NEGATIVE,1.4066696166992188e-05,0.129,0.728,0.143,0.4991
CSATF_20210114_265_FULL,NEGATIVE,5.7220458984375e-06,0.125,0.731,0.144,0.9046
CSATF_20210114_265_PrisonConditions_Infection,NEGATIVE,5.602836608775696e-06,0.138,0.805,0.057,-0.9893
CSATF_20210114_265_Stress_PrisonConditions,NEGATIVE,0.0001547336578368,0.166,0.724,0.109,-0.9789
CSATF_20210114_284_FULL_Family_PrisonConditions,NEGATIVE,0.0014398694038392,0.063,0.737,0.2,0.9625
CSATF_20210119_320_FULL,NEGATIVE,3.981590270996094e-05,0.282,0.642,0.076,-0.9999
CSATF_20210119_320_PrisonConditionsInfection,NEGATIVE,1.4066696166992188e-05,0.14,0.772,0.088,-0.9631
CSATF_20210121_260_FULL_Stress_Infection,NEGATIVE,4.494190216064453e-05,0.102,0.776,0.122,0.4532
CSATF_20210122_328_Full,POSITIVE,0.9684926867485046,0.043,0.685,0.272,0.9984
CSATF_20210122_328_Stress,POSITIVE,0.997690200805664,0.016,0.718,0.266,0.9898
CSATF_20210128_310_full,NEGATIVE,0.0004476904869079,0.124,0.777,0.098,-0.988
CSATF_20210128_310_Infection,NEGATIVE,0.000654399394989,0.082,0.854,0.063,-0.7215
CSATF_20210128_310_Programs1,NEGATIVE,0.0671951174736024,0.04,0.892,0.068,0.4588
CSATF_20210128_310_Programs2,NEGATIVE,0.000268280506134,0.192,0.765,0.043,-0.9761
CSATF_20210128_310_Stress,NEGATIVE,0.0005098581314088,0.087,0.788,0.124,0.9434
CSATF_20210129_299_FULL,NEGATIVE,0.0061911940574646,0.065,0.85,0.085,0.9573
CSATF_20210129_299_Infection,NEGATIVE,6.711483001720087e-05,0.187,0.69,0.123,-0.775
CSATF_20210129_299_PrisonConditionsInfectionPrograms,NEGATIVE,0.0009802579879759,0.045,0.896,0.059,0.8126
CSATF_20210201_372_FULL,NEGATIVE,0.0138447880744934,0.155,0.747,0.097,-0.9989
CSATF_20210209_625_Family-1,NEGATIVE,6.9141387939453125e-06,0.135,0.824,0.041,-0.8604
CSATF_20210209_625_FULL-1,NEGATIVE,0.0016195774078368,0.048,0.827,0.125,0.9967
CSATF_20210209_625_PrisonConditions-1,NEGATIVE,0.2752752304077148,0.019,0.883,0.098,0.9796
CSATF_20210209_625_Programs-1,POSITIVE,0.9241993427276612,0.06,0.81,0.13,0.9016
CSATF_20210217_408_FULL,NEGATIVE,0.0829759240150451,0.057,0.813,0.131,0.9992
CSATF_20210217_408_Infection_Stress2,NEGATIVE,0.0001457929611206,0.05,0.753,0.196,0.9977
CSATF_20210217_408_Programs,NEGATIVE,0.2689270973205566,0.048,0.824,0.128,0.9875
CSATF_20210217_408_Stress_Prison Conditions,NEGATIVE,0.0005778074264526,0.067,0.871,0.063,0.3937
CSATF_20210324_639_Full.docx,POSITIVE,0.9918917417526244,0.109,0.698,0.193,0.9725
CSATF_20210324_639_Full_Stress,POSITIVE,0.9524235725402832,0.112,0.71,0.179,0.9618
CSATF_20210401_606_Full.docx,NEGATIVE,0.0124214291572571,0.05,0.796,0.154,0.975
CSATF_20210401_606_Full_PrisonConditions,NEGATIVE,0.0130282044410705,0.052,0.816,0.132,0.9578
CSATF_20210408_977_FULL_PrisonConditionsInfection,NEGATIVE,1.3113021850585938e-05,0.137,0.781,0.081,-0.9018
CSTAF_20210201_327_FULL,NEGATIVE,0.0022640228271484,0.154,0.748,0.097,-0.9989
CSTAF_20210201_327_PrisonConditions1_Programs1,NEGATIVE,0.0002340674400329,0.164,0.774,0.061,-0.9922
CSTAF_20210201_327_PrisonConditions2_Stress1_Infections,NEGATIVE,5.006790161243835e-06,0.146,0.799,0.054,-0.9913
CSTAF_20210201_327_Stress2,NEGATIVE,0.0012056827545166,0.168,0.747,0.084,-0.9648
CSTAF_20210201_327_Stress3,POSITIVE,0.6606898307800293,0.098,0.754,0.149,0.9848
CSTAF_20210201_372_PrisonConditions1_Programs1,NEGATIVE,0.0001909136772155,0.166,0.774,0.06,-0.9927
CSTAF_20210201_372_PrisonConditions2_Stress1_Infections,NEGATIVE,3.612041473399774e-05,0.148,0.799,0.053,-0.9921
CSTAF_20210201_372_Stress2,NEGATIVE,0.0033325552940367,0.182,0.736,0.082,-0.9755
CSTAF_20210201_372_Stress3,POSITIVE,0.6283685564994812,0.1,0.753,0.146,0.9824
Delano_20210216_428_Family_Stress,NEGATIVE,0.0008414983749389,0.071,0.807,0.122,0.9769
Delano_20210216_428_FULL,NEGATIVE,0.000182330608368,0.088,0.789,0.123,0.9971
Delano_20210216_428_Infection,NEGATIVE,1.1801719665638366e-05,0.097,0.829,0.074,-0.6249
Delano_20210216_428_Infections2,NEGATIVE,9.894371032825866e-06,0.08,0.835,0.085,0.2799
Delano_20210216_428_Prison_Conditions,NEGATIVE,0.0002102255821228,0.072,0.872,0.056,-0.6331
Delano_20210216_432_FULL,NEGATIVE,0.0001459121704101,0.128,0.73,0.142,0.8996
Delano_20210216_432_Infection_PrisonConditions,NEGATIVE,5.7578086853027344e-05,0.121,0.795,0.084,-0.8727
Delano_20210216_432_Stress_Family,NEGATIVE,0.0245867967605591,0.12,0.789,0.092,-0.7353
Delano_20210217_400_Full_PrisonConditions,NEGATIVE,0.0077687501907347,0.044,0.844,0.111,0.9719
Delano_20210217_409_FULL_Infection,NEGATIVE,0.0006251931190491,0.1,0.749,0.151,0.8958
Delano_20210222_493_FamilyInfection,NEGATIVE,4.887580871582031e-06,0.126,0.724,0.15,0.9308
Delano_20210222_493_FULL,NEGATIVE,5.006790161243835e-06,0.122,0.726,0.152,0.949
Delano_20210222_7_28_Family_Stress,NEGATIVE,2.288818359375e-05,0.093,0.849,0.059,-0.8751
Delano_20210222_7_28_FULL,NEGATIVE,0.0001097917556763,0.135,0.822,0.043,-0.9988
Delano_20210222_7_28_Infection,NEGATIVE,0.0001653432846068,0.093,0.849,0.058,-0.9247
Delano_20210222_7_28_PrisonConditions,NEGATIVE,0.0006651282310485,0.091,0.815,0.094,-0.2764
Delano_20210223_498_PrisonConditionsInfection,NEGATIVE,0.0028808116912841,0.061,0.807,0.132,0.9425
Delano_20210224_475_FULL,NEGATIVE,0.0186013579368592,0.09,0.85,0.06,-0.9741
Delano_20210301_517_Family_Infection_PrisonConditions,NEGATIVE,5.483627319224915e-06,0.144,0.827,0.029,-0.9839
Delano_20210301_517_FULL,NEGATIVE,0.0004593133926391,0.137,0.779,0.084,-0.9542
Delano_20210301_518_FULL,NEGATIVE,0.0597952604293824,0.1,0.731,0.169,0.9932
Delano_20210301_518_PrisonConditions_Stress,NEGATIVE,3.4809112548828125e-05,0.12,0.739,0.14,0.8746
Delano_20210420_725_FULL_Family_PrisonConditions,NEGATIVE,0.0554184317588806,0.128,0.729,0.143,0.2789
Delano_20210420_726_FULL,NEGATIVE,0.3116385340690613,0.056,0.771,0.173,0.9985
Delano_20210420_726_Infection_Stress,NEGATIVE,0.1709479093551635,0.049,0.775,0.177,0.9971
Donavan_20210517_1291_FULL,NEGATIVE,1.847743988037109e-05,0.157,0.765,0.077,-0.9393
Donovan_20201004_05_00_Family,NEGATIVE,0.0001989006996155,0.078,0.843,0.079,0.4039
Donovan_20201004_05_00_FULL,NEGATIVE,0.0002121329307556,0.066,0.826,0.108,0.9895
Donovan_20201004_05_00_PrisonConditions,NEGATIVE,0.0001407861709595,0.052,0.861,0.087,0.9265
Donovan_20201130_0649_Full,NEGATIVE,0.0001380443572998,0.054,0.784,0.162,0.9994
Donovan_20201130_06_49_Family,NEGATIVE,2.8967857360839844e-05,0.07,0.798,0.133,0.7451
Donovan_20201130_06_49_FULL,NEGATIVE,6.115436553955078e-05,0.058,0.775,0.167,0.9994
Donovan_20201130_06_49_PrisonConditions1,NEGATIVE,0.0007659196853637,0.099,0.845,0.056,-0.7927
Donovan_20201130_06_49_PrisonConditions2,NEGATIVE,0.0001426935195923,0.04,0.882,0.078,0.9269
Donovan_20201130_06_49_Stress,NEGATIVE,0.0725328922271728,0.042,0.782,0.176,0.9977
Donovan_20201201_05_00_Family,NEGATIVE,0.0669835805892944,0.016,0.884,0.1,0.7963
Donovan_20201201_05_00_FULL,NEGATIVE,0.0006611943244934,0.047,0.827,0.126,0.9991
Donovan_20201201_05_00_Infection,NEGATIVE,0.0006281733512878,0.0,0.909,0.091,0.8164
Donovan_20201201_05_00_PrisonConditions,NEGATIVE,0.0010611414909363,0.04,0.854,0.107,0.8385
Donovan_20201201_05_00_PrisonConditions2,NEGATIVE,0.0060611963272095,0.0,0.873,0.127,0.9546
Donovan_20201201_05_00_Programs,NEGATIVE,9.417533874400696e-06,0.071,0.868,0.061,-0.305
