Filename,Sentiment,Polarity,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Compound Sentiment
Avenal_20201105_0830_Infection1,NEGATIVE,5.364418029785156e-06,0.058,0.891,0.051,0.1406
Avenal_20201105_0830_Infection2,NEGATIVE,2.3245811462402344e-05,0.05,0.884,0.066,0.8402
Avenal_20201105_0830_PrisonConditions,NEGATIVE,4.053115844837585e-06,0.012,0.93,0.058,0.8875
Avenal_20201105_0830_PrisonConditions2,NEGATIVE,9.298324584960938e-06,0.017,0.945,0.038,0.6697
Avenal_20201105_08_11_FULL,NEGATIVE,0.0001333951950072,0.092,0.857,0.051,-0.996
Avenal_20201105_08_11_Infection_PrisonConditions,NEGATIVE,0.0001874566078186,0.091,0.832,0.077,-0.7264
Avenal_20201105_08_11_PrisonConditions,NEGATIVE,3.278255462635382e-05,0.04,0.885,0.075,0.952
Avenal_20201105_08_11_PrisonConditions_Infection,NEGATIVE,0.0001164674758912,0.076,0.86,0.063,-0.7579
Avenal_20201106_623_Family,NEGATIVE,0.0001793503761291,0.042,0.838,0.12,0.9839
Avenal_20201106_623_FULL,NEGATIVE,2.6702880859375e-05,0.062,0.796,0.142,0.9994
Avenal_20201106_623_PrisonConditions,NEGATIVE,3.5762786865234375e-05,0.046,0.848,0.107,0.9876
Avenal_20201106_623_PrisonConditions2,NEGATIVE,0.000293791294098,0.084,0.801,0.115,0.935
Avenal_20201106_623_Stress,POSITIVE,0.7914134860038757,0.055,0.824,0.121,0.9078
Avenal_20201110_08_13_Family,NEGATIVE,1.847743988037109e-05,0.063,0.837,0.101,0.6992
Avenal_20201110_08_13_FULL,NEGATIVE,6.258487701416016e-05,0.076,0.798,0.125,0.9977
Avenal_20201110_08_13_Infection,NEGATIVE,5.114078521717413e-05,0.101,0.814,0.085,-0.9103
Avenal_20201110_08_13_PrisonConditions,NEGATIVE,6.9141387939453125e-06,0.015,0.821,0.165,0.9913
Avenal_20201110_08_13_PrisonConditions2,NEGATIVE,0.0004556775093079,0.056,0.787,0.157,0.9759
Avenal_20201110_08_13_PrisonConditions3,NEGATIVE,3.206729888916016e-05,0.089,0.825,0.086,0.5226
Avenal_20201110_7_51_Family,NEGATIVE,2.9087066650390625e-05,0.089,0.786,0.125,0.4874
Avenal_20201110_7_51_FULL,NEGATIVE,0.0002223849296569,0.077,0.812,0.111,0.9969
Avenal_20201110_7_51_Infection,NEGATIVE,0.0112740397453308,0.097,0.817,0.086,-0.8776
Avenal_20201110_7_51_PrisonConditions,NEGATIVE,0.0016750693321228,0.03,0.908,0.062,0.9687
Avenal_20201110_7_51_PrisonConditions2,NEGATIVE,0.0007011890411375,0.14,0.787,0.073,-0.9836
Avenal_20201110_7_51_PrisonConditions3,NEGATIVE,0.000129461288452,0.046,0.81,0.144,0.9914
Avenal_20201110_7_51_Stress,NEGATIVE,7.62939453125e-06,0.066,0.859,0.074,-0.2648
Avenal_20201113_7_18_FULL,NEGATIVE,7.987022400013366e-06,0.095,0.739,0.165,0.998
Avenal_20201113_7_18_PrisonConditions1,NEGATIVE,2.026557922363281e-06,0.047,0.812,0.141,0.9736
Avenal_20201113_7_18_PrisonConditions2,NEGATIVE,4.410743713378906e-06,0.129,0.678,0.193,0.9621
Avenal_20201113_7_18_Stress,NEGATIVE,0.0001862645149232,0.102,0.728,0.17,0.8243
Avenal_20210317_8_31_Full,NEGATIVE,7.247924804676398e-05,0.118,0.738,0.144,0.9934
Avenal_20210317_8_31_Infection1,NEGATIVE,5.424022674560547e-05,0.161,0.748,0.091,-0.9873
Avenal_20210317_8_31_Infection2,NEGATIVE,4.756450653076172e-05,0.133,0.749,0.118,-0.8778
Avenal_20210317_8_31_PrisonConditions,NEGATIVE,0.0004341006278991,0.087,0.795,0.118,0.9297
Avenal_20210317_8_31_Stress_Featured,NEGATIVE,4.208087921142578e-05,0.151,0.766,0.083,-0.9883
Avenal_20210326_6_51_Full,NEGATIVE,0.0003221035003662,0.071,0.838,0.091,0.9879
Avenal_20210326_6_51_Infection,NEGATIVE,0.0003502368927001,0.096,0.844,0.059,-0.9783
Avenal_20210326_6_51_PrisonConditions1,NEGATIVE,0.000112771987915,0.022,0.924,0.054,0.9065
Avenal_20210326_6_51_PrisonConditions2,NEGATIVE,5.078315734863281e-05,0.067,0.914,0.019,-0.9621
Avenal_20210326_6_51_Programs_Infection2,NEGATIVE,0.0004143118858336,0.106,0.833,0.061,-0.9727
Avenal_20210326_6_51_Stress_Infection3,NEGATIVE,4.9233436584361634e-05,0.041,0.802,0.156,0.9887
Avenal_20210518_5_22_FULL_Infection_PrisonConditions_Stress,NEGATIVE,3.588199615478516e-05,0.027,0.735,0.238,0.9993
Avenal_20210916_71906_P1_FULL,NEGATIVE,1.0848045349232116e-05,0.056,0.802,0.143,0.9995
Avenal_20210916_71906_P1_PrisonConditions_Family_Infection,NEGATIVE,1.3709068298450866e-05,0.076,0.867,0.057,-0.9014
Avenal_20210916_71906_P1_Programs2_Infection2_Featured,NEGATIVE,0.0007968544960021,0.061,0.761,0.178,0.998
Avenal_20210916_71906_P1_Stress_ Infection3_Programs,NEGATIVE,6.079673767200866e-06,0.06,0.829,0.11,0.9759
Avenal_20210916_71906_P2_FULL,NEGATIVE,6.35385513305664e-05,0.055,0.827,0.118,0.9992
Avenal_20210916_71906_P2_Infection2_PrisonConditions2_Featured2,NEGATIVE,0.0002006888389588,0.068,0.813,0.119,0.9829
Avenal_20210916_71906_P2_Infection_PrisonConditions_Featured,NEGATIVE,2.396106719959601e-05,0.039,0.866,0.095,0.9889
Avenal_20210916_71906_P2_PrisonConditions2,NEGATIVE,0.0006898641586303,0.023,0.892,0.086,0.9486
Avenal_20210916_71906_P3_FULL,NEGATIVE,0.0496430397033692,0.082,0.75,0.169,0.9997
Avenal_20210916_71906_P3_PrisonConditions_Stress,NEGATIVE,0.0004253983497619,0.093,0.854,0.054,-0.9732
Avenal_20210916_71906_P3_Stress_PrisonConditions_Family,NEGATIVE,0.0001337528228759,0.085,0.875,0.04,-0.9127
Butte_Main_20220105_13697_FULL,NEGATIVE,0.0007504820823668,0.092,0.731,0.177,0.9996
Butte_Main_20220105_13697_Infection1_Stress1,NEGATIVE,3.838539123535156e-05,0.123,0.703,0.173,0.932
Butte_Main_20220105_13697_Programs,NEGATIVE,0.0014939308166503,0.01,0.901,0.089,0.9384
Butte_Main_20220105_13697_Stress2_Family,NEGATIVE,0.0004863739013671,0.144,0.67,0.186,0.7689
Butte_Main_20220105_13697_Stress3_PrisonConditions,NEGATIVE,0.2997772693634033,0.097,0.849,0.054,-0.8131
Butte_Main_20220105_13697_Stress4_Infection2,NEGATIVE,0.0637521147727966,0.09,0.767,0.143,0.9819
Butte_Main_20220105_59841_Family_Stress,NEGATIVE,6.270408630359992e-05,0.057,0.778,0.165,0.9911
Butte_Main_20220105_59841_FULL,NEGATIVE,8.463859557994446e-06,0.081,0.697,0.222,0.9999
Butte_Main_20220105_59841_PrisonConditions,NEGATIVE,8.463859557994446e-06,0.113,0.728,0.159,0.9559
CaliforniaCity_20210426_816_Full_ProgramsFamily,POSITIVE,0.9977739453315736,0.018,0.778,0.203,0.9971
CaliforniaCity_20210426_860_FULL,NEGATIVE,0.0001792311668395,0.079,0.779,0.142,0.9987
CaliforniaCity_20210426_860_PrisonConditionsFamilyInfection1,NEGATIVE,9.059906005859376e-05,0.091,0.795,0.115,0.8043
CaliforniaCity_20210426_860_PrisonConditionsFamilyInfection2,NEGATIVE,0.0026891231536864,0.062,0.834,0.104,0.9796
CaliforniaCity_20210426_860_StressPrisonConditionsPrograms,NEGATIVE,0.0041828751564025,0.088,0.704,0.208,0.9953
CaliforniaCity_20210428_851_FULL,NEGATIVE,0.0001342296600341,0.092,0.808,0.1,0.744
CaliforniaCity_20210428_851_PrisonConditionsInfection,NEGATIVE,0.0001342296600341,0.121,0.854,0.025,-0.9949
CaliforniaCity_20210428_851_ProgramsStressInfection,NEGATIVE,1.3113021850585938e-05,0.065,0.783,0.152,0.9925
CaliforniaCity_20210428_855_FULL,NEGATIVE,0.0131561160087584,0.055,0.851,0.093,0.9797
CaliforniaCity_20210428_855_ProgramsPrisonConditions,NEGATIVE,0.0002974867820739,0.037,0.915,0.048,0.354
CaliforniaCity_20210428_855_ProgramsPrisonConditionsFamily,NEGATIVE,0.0188877582550047,0.063,0.854,0.082,0.7172
CaliforniaCity_20210505_1771_FULL,NEGATIVE,0.0413975715637208,0.051,0.747,0.202,0.9973
CaliforniaCity_20210528_1542_FULL_Family_Stress,NEGATIVE,0.275983452796936,0.189,0.682,0.129,-0.9485
CaliforniaCity_20210604_821_FULL_Programs_Infection,NEGATIVE,6.985664367675781e-05,0.073,0.801,0.126,0.9571
CaliforniaCity_20210609_844_Family2_Stress_Programs1,NEGATIVE,2.658367156982422e-05,0.048,0.773,0.179,0.9819
CaliforniaCity_20210609_844_Family_PrisonConditions,NEGATIVE,3.731250762939453e-05,0.045,0.736,0.22,0.999
CaliforniaCity_20210609_844_FULL,POSITIVE,0.99433571100235,0.044,0.747,0.209,0.9999
CaliforniaCity_20210609_844_Infection,NEGATIVE,0.0005432963371275,0.071,0.796,0.133,0.9507
CaliforniaCity_20210609_844_Programs,NEGATIVE,0.0134522318840027,0.033,0.805,0.162,0.9837
CaliforniaCity_20210617_624_FULL,NEGATIVE,0.0001373291015623,0.029,0.89,0.082,0.9985
CaliforniaCity_20210617_624_PrisonConditions2_Infection,NEGATIVE,0.1713210344314575,0.009,0.903,0.088,0.9493
CaliforniaCity_20210617_624_Programs2,NEGATIVE,0.0008735060691832,0.025,0.902,0.073,0.9571
CaliforniaCity_20210617_624_Programs_PrisonConditions,NEGATIVE,0.0028093457221983,0.026,0.941,0.033,-0.3497
CaliforniaCity_20210617_714_Family_Programs,NEGATIVE,1.1324882507213196e-05,0.109,0.768,0.123,0.7941
CaliforniaCity_20210617_714_FULL,NEGATIVE,0.0003266334533692,0.06,0.778,0.162,0.9996
CaliforniaCity_20210617_714_Infection1_PrisonConditions,NEGATIVE,9.179115295410156e-06,0.084,0.842,0.075,-0.9069
CaliforniaCity_20210617_714_Stress1_Programs2,NEGATIVE,1.513957977294922e-05,0.048,0.836,0.116,0.9667
CaliforniaCity_20210617_714_Stress2_Infection,NEGATIVE,0.0017502903938292,0.063,0.77,0.167,0.996
CaliforniaCity_20210623_1123_FULL,NEGATIVE,0.0001636743545532,0.122,0.676,0.202,0.9566
Calipatria_ 20210208_351_Full,NEGATIVE,0.0007538795471192,0.116,0.706,0.178,0.978
Calipatria_ 20210208_351_Stress,NEGATIVE,0.0008989572525024,0.093,0.779,0.128,0.6151
Calipatria_20210122_06_48_Family,NEGATIVE,7.545948028564453e-05,0.069,0.858,0.073,-0.3056
Calipatria_20210122_06_48_FULL,NEGATIVE,8.273124694824219e-05,0.042,0.794,0.163,0.9998
Calipatria_20210122_06_48_Infection,NEGATIVE,8.225440979003906e-06,0.098,0.732,0.17,0.9541
Calipatria_20210122_06_48_PrisonConditions1,NEGATIVE,0.0001641511917114,0.051,0.781,0.168,0.9965
Calipatria_20210122_06_48_PrisonConditions2,NEGATIVE,0.0001751780509947,0.04,0.818,0.142,0.9927
Calipatria_20210122_06_48_Stress_Programs,NEGATIVE,2.014636993397101e-05,0.041,0.837,0.122,0.968
Calipatria_20210124_314_FULL,NEGATIVE,2.777576446522101e-05,0.097,0.651,0.252,0.9987
Calipatria_20210124_314_Infections_Family,NEGATIVE,2.86102294921875e-06,0.131,0.701,0.168,0.963
Calipatria_20210125_313_FULL,NEGATIVE,0.0072024464607239,0.149,0.719,0.132,-0.9235
Calipatria_20210125_313_PrisonConditions_Infections,NEGATIVE,2.2172927856445312e-05,0.163,0.715,0.122,-0.976
Calipatria_20210127_335_Family_Stress,NEGATIVE,8.082389831542969e-05,0.106,0.776,0.118,0.0548
Calipatria_20210127_335_FULL,NEGATIVE,0.0918431878089903,0.103,0.719,0.178,0.9962
Calipatria_20210127_335_Infections,NEGATIVE,3.826618194580078e-05,0.081,0.809,0.11,0.5771
Calipatria_20210127_335_PrisonConditions_Stress_Feature,NEGATIVE,0.04318505525589,0.08,0.818,0.102,0.5687
Calipatria_20210129_309_FULL_Infection_Stress,NEGATIVE,0.0008425712585448,0.051,0.851,0.099,0.9557
Calipatria_20210129_369_FULL_PrisonConditions_Stress,NEGATIVE,5.149841308604852e-05,0.107,0.719,0.174,0.9892
Calipatria_20210201_374_FULL_Infection,NEGATIVE,0.0001109838485717,0.067,0.777,0.156,0.9796
Calipatria_20210201_376_FULL_Family_Programs,NEGATIVE,1.776218414317743e-05,0.082,0.769,0.149,0.989
Calipatria_20210203_383_FULL,POSITIVE,0.8975977301597595,0.194,0.673,0.133,-0.9985
Calipatria_20210203_383_PrisonConditions_Family,NEGATIVE,0.0068567991256713,0.172,0.736,0.092,-0.9896
Calipatria_20210203_384_FULL.docx,POSITIVE,0.8775772452354431,0.111,0.698,0.191,0.9324
Calipatria_20210203_384_FULL,POSITIVE,0.5744622349739075,0.113,0.708,0.18,0.906
Calipatria_20210203_384_FULL_Stress,NEGATIVE,0.1536785364151001,0.125,0.694,0.181,0.8777
Calipatria_20210203_384_PrisonConditionsStress,POSITIVE,0.7803024053573608,0.112,0.709,0.179,0.906
Calipatria_20210204_378_FULL_Infections_PrisonConditions_StressandCoping,NEGATIVE,1.2278556823619446e-05,0.065,0.787,0.148,0.9872
Calipatria_20210205_387_FULL,NEGATIVE,0.0037121772766112,0.15,0.705,0.145,0.1646
Calipatria_20210205_387_Infection_Stress,NEGATIVE,0.000174343585968,0.191,0.765,0.044,-0.9648
Calipatria_20210205_389a_full,NEGATIVE,0.0296452641487121,0.076,0.817,0.107,0.851
Calipatria_20210205_389b_full,NEGATIVE,2.956390380859375e-05,0.161,0.725,0.115,-0.986
Calipatria_20210205_390_FULL_PrisonConditions_Stress,NEGATIVE,7.092952728282587e-05,0.112,0.699,0.189,0.91
Calipatria_20210208_350_Full_Infection_Family,NEGATIVE,0.0098066926002502,0.122,0.668,0.211,0.9924
Calipatria_20210208_351_ prisonconditions_programs,NEGATIVE,5.4836273193359375e-05,0.128,0.699,0.172,0.9255
Calipatria_20210208_352_FULL,POSITIVE,0.576226532459259,0.054,0.793,0.153,0.9839
Calipatria_20210210_360_FULL,NEGATIVE,0.0077744722366331,0.079,0.702,0.219,0.9996
Calipatria_20210210_360_InfectionPrisonConditonsStress,NEGATIVE,0.0050834417343139,0.107,0.744,0.149,0.9505
Calipatria_20210211_445_FULL,NEGATIVE,0.0001217126846312,0.097,0.798,0.105,0.5676
Calipatria_20210211_445_FULL_Infections_Programs_PrisonConditions,NEGATIVE,0.0001612901687622,0.091,0.82,0.089,-0.5734
Calipatria_20210211_445_Infections_Programs,NEGATIVE,4.172325134388366e-06,0.103,0.75,0.147,0.8751
Calipatria_20210211_445_PrisonConditions,NEGATIVE,5.73396682740368e-05,0.089,0.871,0.04,-0.9633
Calipatria_20210212_436_Full,NEGATIVE,0.0009137392044068,0.074,0.804,0.122,0.9839
Calipatria_20210212_436_Stress_Family_PrisonConditions,NEGATIVE,2.765655517578125e-05,0.102,0.842,0.056,-0.7797
Calipatria_20210212_437_FULL,NEGATIVE,0.3025804162025451,0.059,0.837,0.103,0.9876
Calipatria_20210212_437_Stress,POSITIVE,0.9600316882133484,0.056,0.824,0.12,0.9754
Calipatria_20210216_418_FULL_Programms_Infection,NEGATIVE,1.4781951904407896e-05,0.06,0.788,0.152,0.9809
Calipatria_20210217_07_39_Family,NEGATIVE,1.2874603271595396e-05,0.062,0.757,0.181,0.9876
Calipatria_20210217_07_39_full,NEGATIVE,0.0030722022056579,0.067,0.725,0.208,0.9998
Calipatria_20210217_07_39_Infection,NEGATIVE,0.0095483064651488,0.048,0.804,0.148,0.9809
Calipatria_20210217_07_39_PrisonConditions,NEGATIVE,0.0003293752670288,0.032,0.818,0.15,0.9816
Calipatria_20210217_07_39_PrisonConditions2,NEGATIVE,0.1592970490455627,0.104,0.708,0.188,0.9945
Calipatria_20210222_3_32_FULL_PrisonConditions,NEGATIVE,7.510185241588196e-06,0.175,0.651,0.175,0.0
Calipatria_20210222_458_FULL_Infection_PrisonConditions,NEGATIVE,7.355213165283203e-05,0.081,0.75,0.168,0.9763
Calipatria_20210222_487a_FULL_Family_Programs_PrisonConditions,NEGATIVE,0.0002759099006651,0.103,0.737,0.16,0.9832
Calipatria_20210304_528_FULL_Infection_PrisonConditions,NEGATIVE,6.794929504394531e-05,0.073,0.882,0.045,-0.8253
Calipatria_20210304_533_FULL,NEGATIVE,0.0234611630439758,0.138,0.657,0.204,0.8628
Calipatria_20210312_658_Full,NEGATIVE,0.1316373348236084,0.079,0.763,0.158,0.9986
Calipatria_20210312_658_ProgramsPrisonConditions,NEGATIVE,1.7523765563964844e-05,0.064,0.806,0.13,0.9901
Calipatria_20210316_552_FULL,NEGATIVE,0.0302379131317139,0.137,0.693,0.17,0.997
Calipatria_20210316_552_PrisonConditions_Programs,POSITIVE,0.740132212638855,0.057,0.761,0.182,0.9953
