Filename,NegVaderPosFlair,PosVaderNegFlair,MatchingVaderFlair
Avenal_20210916_71906_P2_Infection_PrisonConditions_Featured.txt,False,False,False
Avenal_20210916_71906_P2_PrisonConditions2.txt,False,False,False
Avenal_20210916_71906_P3_FULL.txt,False,False,False
Avenal_20210916_71906_P3_PrisonConditions_Stress.txt,True,False,True
Avenal_20210916_71906_P3_Stress_PrisonConditions_Family.txt,True,False,True
Butte_Main_20220105_13697_FULL.txt,False,False,False
Butte_Main_20220105_13697_Infection1_Stress1.txt,False,False,False
Butte_Main_20220105_13697_Programs.txt,False,False,False
Butte_Main_20220105_13697_Stress2_Family.txt,False,False,False
Butte_Main_20220105_13697_Stress3_PrisonConditions.txt,True,False,True
Butte_Main_20220105_13697_Stress4_Infection2.txt,False,False,False
Butte_Main_20220105_59841_Family_Stress.txt,False,False,False
Butte_Main_20220105_59841_FULL.txt,False,False,False
Butte_Main_20220105_59841_PrisonConditions.txt,False,False,False
CaliforniaCity_20210426_816_Full_ProgramsFamily.txt,False,True,True
CaliforniaCity_20210426_860_FULL.txt,False,False,False
CaliforniaCity_20210426_860_PrisonConditionsFamilyInfection1.txt,False,False,False
CaliforniaCity_20210426_860_PrisonConditionsFamilyInfection2.txt,False,False,False
CaliforniaCity_20210426_860_StressPrisonConditionsPrograms.txt,False,False,False
CaliforniaCity_20210428_851_FULL.txt,False,False,False
CaliforniaCity_20210428_851_PrisonConditionsInfection.txt,True,False,True
CaliforniaCity_20210428_851_ProgramsStressInfection.txt,False,False,False
CaliforniaCity_20210428_855_FULL.txt,False,False,False
CaliforniaCity_20210428_855_ProgramsPrisonConditions.txt,False,False,False
CaliforniaCity_20210428_855_ProgramsPrisonConditionsFamily.txt,False,False,False
CaliforniaCity_20210505_1771_FULL.txt,False,False,False
CaliforniaCity_20210528_1542_FULL_Family_Stress.txt,True,False,True
CaliforniaCity_20210604_821_FULL_Programs_Infection.txt,False,False,False
CaliforniaCity_20210609_844_Family2_Stress_Programs1.txt,False,False,False
CaliforniaCity_20210609_844_Family_PrisonConditions.txt,False,False,False
CaliforniaCity_20210609_844_FULL.txt,False,True,True
CaliforniaCity_20210609_844_Infection.txt,False,False,False
CaliforniaCity_20210609_844_Programs.txt,False,False,False
CaliforniaCity_20210617_624_FULL.txt,False,False,False
CaliforniaCity_20210617_624_PrisonConditions2_Infection.txt,False,False,False
CaliforniaCity_20210617_624_Programs2.txt,False,False,False
CaliforniaCity_20210617_624_Programs_PrisonConditions.txt,True,False,True
CaliforniaCity_20210617_714_Family_Programs.txt,False,False,False
CaliforniaCity_20210617_714_FULL.txt,False,False,False
CaliforniaCity_20210617_714_Infection1_PrisonConditions.txt,True,False,True
CaliforniaCity_20210617_714_Stress1_Programs2.txt,False,False,False
CaliforniaCity_20210617_714_Stress2_Infection.txt,False,False,False
CaliforniaCity_20210623_1123_FULL.txt,False,False,False
Calipatria_ 20210208_351_Full.txt,False,False,False
Calipatria_ 20210208_351_Stress.txt,False,False,False
Calipatria_20210122_06_48_Family.txt,True,False,True
Calipatria_20210122_06_48_FULL.txt,False,False,False
Calipatria_20210122_06_48_Infection.txt,False,False,False
Calipatria_20210122_06_48_PrisonConditions1.txt,False,False,False
Calipatria_20210122_06_48_PrisonConditions2.txt,False,False,False
Calipatria_20210122_06_48_Stress_Programs.txt,False,False,False
Calipatria_20210124_314_FULL.txt,False,False,False
Calipatria_20210124_314_Infections_Family.txt,False,False,False
Calipatria_20210125_313_FULL.txt,True,False,True
Calipatria_20210125_313_PrisonConditions_Infections.txt,True,False,True
Calipatria_20210127_335_Family_Stress.txt,False,False,False
Calipatria_20210127_335_FULL.txt,False,False,False
Calipatria_20210127_335_Infections.txt,False,False,False
Calipatria_20210127_335_PrisonConditions_Stress_Feature.txt,False,False,False
Calipatria_20210129_309_FULL_Infection_Stress.txt,False,False,False
Calipatria_20210129_369_FULL_PrisonConditions_Stress.txt,False,False,False
Calipatria_20210201_374_FULL_Infection.txt,False,False,False
Calipatria_20210201_376_FULL_Family_Programs.txt,False,False,False
Calipatria_20210203_383_FULL.txt,False,False,False
Calipatria_20210203_383_PrisonConditions_Family.txt,True,False,True
Calipatria_20210203_384_FULL.docx,False,True,True
Calipatria_20210203_384_FULL.txt,False,True,True
Calipatria_20210203_384_FULL_Stress.txt,False,False,False
Calipatria_20210203_384_PrisonConditionsStress.txt,False,True,True
Calipatria_20210204_378_FULL_Infections_PrisonConditions_StressandCoping.txt,False,False,False
Calipatria_20210205_387_FULL.txt,False,False,False
Calipatria_20210205_387_Infection_Stress.txt,True,False,True
Calipatria_20210205_389a_full.txt,False,False,False
Calipatria_20210205_389b_full.txt,True,False,True
Calipatria_20210205_390_FULL_PrisonConditions_Stress.txt,False,False,False
