Total readable files: 654
Total unreadable files: 97
Unreadable Stories:
Story ID: Calipatria_20210222_3_32_FULL_PrisonConditions, Status Code: 404
Story ID: Chuckawalla_20201203_06_01_PrisonConditions1_Infection, Status Code: N/A
Story ID: Corcoran_20210518_6_21_FULL, Status Code: N/A
Story ID: NewFolsom_20210513_7_16_FULL, Status Code: N/A
Story ID: NewFolsom_20211117_47746_FULL, Status Code: N/A
Story ID: Solano_20201012_0935_FULL, Status Code: N/A
Story ID: Solano_20201206_08_30_FULL_PrisonConditions, Status Code: N/A
Story ID: Solano_20201214_7_54_FULL, Status Code: N/A
Story ID: Solano_20201217_05_27_FULL_3calls, Status Code: N/A
Story ID: Solano_20201217_619_FULL, Status Code: N/A
Story ID: Solano_20210123_03_05_FULL, Status Code: N/A
Story ID: Solano_20210308_05_50_FULL, Status Code: N/A
Story ID: Solano_20201221_06_00_FULL, Status Code: N/A
Story ID: Vacaville_20211227_51626_FULL, Status Code: N/A
Story ID: Alameda_SantaRita_20220225_43871_FULL, Status Code: N/A
Story ID: NewFolsom_20210609_618_FULL, Status Code: N/A
Story ID: NewFolsom_20210610_605_FULL, Status Code: N/A
Story ID: NewFolsom_20220112_29146_FULL, Status Code: N/A
Story ID: Donovan_20210428_762_FULL_PrisonConditionsStress, Status Code: N/A
