Story ID (prison_yyyymmdd_topic),Unique ID,On M.I. list?,Reviewed and Cleared,Date R&C,Added to site,Date added,Story Title (max 20 characters),Audio File,Transcript,Date (MM/YY),Prison,Tags,Storyteller,Story Type,"If Segment, Full Story ID",Letter/Call
Tehachapi_20210119_0740_FULL,9055,,KT,,KT,,The full story,https://www.dropbox.com/s/zfg9hd777gpyl8x/Tehachapi_20210119_07_40_FULL.mp3?dl=0,https://www.dropbox.com/s/oewb6gm6mq7kbvd/Tehachapi_20210119_0740_FULL.txt?dl=0,01/23,Tehachapi,,Incarcerated Person,Full,,Call
Tracy_20210125_06_00_FULL,1414,,MV/KT,,KT,,The full story,https://www.dropbox.com/s/6k8s91o5mlgb8jr/Deuel_Vocational_Institution_20210125_06_00_FULL.mp3?dl=0,https://www.dropbox.com/s/jkt4izjhavjjhis/Tracy_20210125_06_00_FULL-1.txt?dl=0,01/23,Tracy,,Incarcerated Person,Full,,Call
Vacaville_20201124_01_45_FULL_PrisonConditions,52710,,KT,,NS,,Worst medical,https://www.dropbox.com/s/vbi2b1owhbzy0em/Vacaville_20201124_01_45_PrisonConditions.mp3?dl=0,https://www.dropbox.com/s/47xlyptb1jm7zrw/Vacaville_20201124_01_45_PrisonConditions.txt?dl=0,11/23,Vacaville,"Prison Conditions, Featured",Incarcerated Person,Full,Vacaville_20201124_01_45_PrisonConditions,Call
Vacaville_20210111_156_FULL_Infection,3892,,KT,,KT,,Dropping like flies,https://www.dropbox.com/s/heh2mcshldwagfo/Vacaville_20210111_156_Infection.mp3?dl=0,https://www.dropbox.com/s/8e24sojypo3mh6l/Vacaville_20210111_156_Infection.txt?dl=0,01/23,Vacaville,"Featured, Infection, Prison Condition",Incarcerated Person,Full,,Call
Vacaville_20210429_7_14_FULL,66133,,MV,,MV,,The full story,https://www.dropbox.com/s/cyzcpenikcckm1a/Vacaville_20210429_7_14_FULL%20copy.mp3?dl=0,https://www.dropbox.com/s/0uxwnzr0oxm3kv6/Vacaville_20210429_7_14_FULL.txt?dl=0,04/23,Vacaville,,Incarcerated Person,Full,,Call
Vacaville_20211227_51626_FULL,51626,,MV,,MV,,The full story,https://www.dropbox.com/scl/fi/8d7pobyo2xld7czc0z2ov/Vacaville_20211227_51626_FULL.mp3?rlkey=f8qqps0uekco9av8kdp7su8d1&dl=0,https://www.dropbox.com/scl/fi/z2n25lcyahgxvy1fegy8r/Vacaville_20211227_51626_FULL.txt?rlkey=e0zoemx9ef81cjdh8h2d0nv6x&dl=0,12/23,Vacaville,,Incarcerated Person,Full,,Call
Fresno_Main_20210920_28918_FULL,28918,,MV,MV,MV,,The full story,https://www.dropbox.com/s/76ohlck79wfeavq/Fresno_Main_20210920_28918_FULL.mp3?dl=0,https://www.dropbox.com/s/u1rp31xl9is3vga/Fresno_Main_20210920_28918_FULL.txt?dl=0,09/23,Fresno County,,Incarcerated Person,Full,,Call
SanJoaquin_Main_20210831_12851_FULL,12851,,MV,,MV,,The full story,https://www.dropbox.com/s/9ajsh3yf3zwkrhj/SanJoaquin_Main_20210831_12851_FULL.mp3?dl=0,https://www.dropbox.com/s/dvqmdoe0k13elv3/SanJoaquin_Main_20210831_12851_FULL.txt?dl=0,08/21,San Joaquin County,,Incarcerated Person,Full,,Call
SanJoaquin_Main_20210831_15688_FULL,15688,,MV,,MV,,The full story,https://www.dropbox.com/s/f5s0c9gmhehh3q6/SanJoaquin_Main_20210831_15688_FULL.mp3?dl=0,https://www.dropbox.com/s/wsy8av6vy0aky8b/SanJoaquin_Main_20210831_15688_FULL.txt?dl=0,08/21,San Joaquin County,,Incarcerated Person,Full,,Call
SanJoaquin_Main_20210902_88473_P2_FULL,88473,,MV,,MV,,The full story,https://www.dropbox.com/s/zizml7hjg01hvdf/SanJoaquin_Main_20210902_88473_P2_FULL.mp3?dl=0,https://www.dropbox.com/s/7fglokocwksvafa/SanJoaquin_Main_20210902_88473_P2_FULL.txt?dl=0,09/21,San Joaquin County,,Incarcerated Person,Full,,Call
